anio_enfr,prov_nombre,grupo_edad_enfr,sexo,freq_dm,prev_dm,AVD_total
2005,Entre Ríos,18 a 24,Varón,307,0.00491215718903062,3442.1887531103216
2005,Entre Ríos,25 a 34,Mujer,6235,0.08714794884339037,69908.94747766403
2005,Entre Ríos,25 a 34,Varón,1210,0.02045577506264059,13566.932870565111
2005,Entre Ríos,35 a 49,Mujer,2497,0.03054770555849924,27997.216014711637
2005,Entre Ríos,35 a 49,Varón,1972,0.02498764556731789,22110.736876656527
2005,Entre Ríos,50 a 64,Mujer,9534,0.13441421119773225,106898.4611470808
2005,Entre Ríos,50 a 64,Varón,11989,0.1676923937673093,134424.75883074803
2005,Entre Ríos,65+,Mujer,12328,0.1895886197616309,138225.74250274934
2005,Entre Ríos,65+,Varón,6804,0.15473131346031083,76288.76962919423
2005,Formosa,18 a 24,Mujer,851,0.0403508771930341,9541.70237425695
