anio,prov_id,prov_nombre,sexo,grupo_edad,proyeccion
2010,42,La Pampa,Mujer,75 a 79,5012
2010,42,La Pampa,Mujer,80+,3988
2010,42,La Pampa,Varón,20 a 24,2983
2010,42,La Pampa,Varón,25 a 29,12709
2010,42,La Pampa,Varón,30 a 34,12017
2010,42,La Pampa,Varón,35 a 39,11985
2010,42,La Pampa,Varón,40 a 44,10705
2010,42,La Pampa,Varón,45 a 49,9719
2010,42,La Pampa,Varón,50 a 54,9499
2010,42,La Pampa,Varón,55 a 59,8724
2010,42,La Pampa,Varón,60 a 64,7997
2010,42,La Pampa,Varón,65 a 69,7001
2010,42,La Pampa,Varón,70 a 74,5708
2010,42,La Pampa,Varón,75 a 79,4202
2010,42,La Pampa,Varón,80+,3017
2010,46,La Rioja,Mujer,20 a 24,3380
2010,46,La Rioja,Mujer,25 a 29,15396
2010,46,La Rioja,Mujer,30 a 34,13927
2010,46,La Rioja,Mujer,35 a 39,13778
2010,46,La Rioja,Mujer,40 a 44,11438
2010,46,La Rioja,Mujer,45 a 49,9565
2010,46,La Rioja,Mujer,50 a 54,8845
2010,46,La Rioja,Mujer,55 a 59,7848
2010,46,La Rioja,Mujer,60 a 64,6940
2010,46,La Rioja,Mujer,65 a 69,5602
2010,46,La Rioja,Mujer,70 a 74,4296
2010,46,La Rioja,Mujer,75 a 79,3428
2010,46,La Rioja,Mujer,80+,2666
2010,46,La Rioja,Varón,20 a 24,1961
2010,46,La Rioja,Varón,25 a 29,15233
2010,46,La Rioja,Varón,30 a 34,13844
2010,46,La Rioja,Varón,35 a 39,13535
2010,46,La Rioja,Varón,40 a 44,11235
2010,46,La Rioja,Varón,45 a 49,9507
2010,46,La Rioja,Varón,50 a 54,8858
2010,46,La Rioja,Varón,55 a 59,7973
2010,46,La Rioja,Varón,60 a 64,7019
2010,46,La Rioja,Varón,65 a 69,5531
2010,46,La Rioja,Varón,70 a 74,4058
2010,46,La Rioja,Varón,75 a 79,2793
2010,46,La Rioja,Varón,80+,1988
2010,50,Mendoza,Mujer,20 a 24,26795
2010,50,Mendoza,Mujer,25 a 29,74634
2010,50,Mendoza,Mujer,30 a 34,68614
2010,50,Mendoza,Mujer,35 a 39,66688
2010,50,Mendoza,Mujer,40 a 44,58722
2010,50,Mendoza,Mujer,45 a 49,50641
2010,50,Mendoza,Mujer,50 a 54,47710
2010,50,Mendoza,Mujer,55 a 59,45616
2010,50,Mendoza,Mujer,60 a 64,43908
2010,50,Mendoza,Mujer,65 a 69,39318
2010,50,Mendoza,Mujer,70 a 74,32053
2010,50,Mendoza,Mujer,75 a 79,25403
2010,50,Mendoza,Mujer,80+,20597
2010,50,Mendoza,Varón,20 a 24,14861
2010,50,Mendoza,Varón,25 a 29,75959
2010,50,Mendoza,Varón,30 a 34,69161
2010,50,Mendoza,Varón,35 a 39,65347
2010,50,Mendoza,Varón,40 a 44,56270
2010,50,Mendoza,Varón,45 a 49,47655
2010,50,Mendoza,Varón,50 a 54,44110
2010,50,Mendoza,Varón,55 a 59,41781
2010,50,Mendoza,Varón,60 a 64,39383
2010,50,Mendoza,Varón,65 a 69,34473
2010,50,Mendoza,Varón,70 a 74,26982
2010,50,Mendoza,Varón,75 a 79,19972
2010,50,Mendoza,Varón,80+,14705
2010,54,Misiones,Mujer,20 a 24,7965
2010,54,Misiones,Mujer,25 a 29,47602
2010,54,Misiones,Mujer,30 a 34,41976
2010,54,Misiones,Mujer,35 a 39,39332
2010,54,Misiones,Mujer,40 a 44,33867
2010,54,Misiones,Mujer,45 a 49,29813
2010,54,Misiones,Mujer,50 a 54,28037
2010,54,Misiones,Mujer,55 a 59,24634
2010,54,Misiones,Mujer,60 a 64,20437
2010,54,Misiones,Mujer,65 a 69,15965
2010,54,Misiones,Mujer,70 a 74,12375
2010,54,Misiones,Mujer,75 a 79,9829
2010,54,Misiones,Mujer,80+,7278
2010,54,Misiones,Varón,20 a 24,5466
2010,54,Misiones,Varón,25 a 29,46576
2010,54,Misiones,Varón,30 a 34,40583
2010,54,Misiones,Varón,35 a 39,38075
2010,54,Misiones,Varón,40 a 44,32837
2010,54,Misiones,Varón,45 a 49,28980
2010,54,Misiones,Varón,50 a 54,28019
2010,54,Misiones,Varón,55 a 59,25147
2010,54,Misiones,Varón,60 a 64,20976
2010,54,Misiones,Varón,65 a 69,16032
2010,54,Misiones,Varón,70 a 74,12022
2010,54,Misiones,Varón,75 a 79,8902
2010,54,Misiones,Varón,80+,5988
2010,58,Neuquén,Mujer,20 a 24,4648
2010,58,Neuquén,Mujer,25 a 29,23866
2010,58,Neuquén,Mujer,30 a 34,23455
2010,58,Neuquén,Mujer,35 a 39,23875
2010,58,Neuquén,Mujer,40 a 44,21166
2010,58,Neuquén,Mujer,45 a 49,18186
2010,58,Neuquén,Mujer,50 a 54,16661
2010,58,Neuquén,Mujer,55 a 59,14482
2010,58,Neuquén,Mujer,60 a 64,12195
2010,58,Neuquén,Mujer,65 a 69,9631
2010,58,Neuquén,Mujer,70 a 74,7025
2010,58,Neuquén,Mujer,75 a 79,5186
2010,58,Neuquén,Mujer,80+,3816
2010,58,Neuquén,Varón,20 a 24,2663
2010,58,Neuquén,Varón,25 a 29,24515
2010,58,Neuquén,Varón,30 a 34,23213
2010,58,Neuquén,Varón,35 a 39,23343
2010,58,Neuquén,Varón,40 a 44,20596
2010,58,Neuquén,Varón,45 a 49,17436
2010,58,Neuquén,Varón,50 a 54,15864
2010,58,Neuquén,Varón,55 a 59,14066
2010,58,Neuquén,Varón,60 a 64,11923
2010,58,Neuquén,Varón,65 a 69,9340
2010,58,Neuquén,Varón,70 a 74,6597
2010,58,Neuquén,Varón,75 a 79,4476
2010,58,Neuquén,Varón,80+,2895
2010,62,Río Negro,Mujer,20 a 24,7326
2010,62,Río Negro,Mujer,25 a 29,25729
