anio anio_enfr prov_id prov_nombre grupo_edad grupo_edad_10 sexo total
2004 2005 10 Catamarca "45 a 49" "40 a 49" Varón 3
2004 2005 10 Catamarca "50 a 54" "50 a 59" Mujer 1
2004 2005 10 Catamarca "50 a 54" "50 a 59" Mujer 4
2004 2005 10 Catamarca "50 a 54" "50 a 59" Varón 4
2004 2005 10 Catamarca "55 a 59" "50 a 59" Mujer 3
2004 2005 10 Catamarca "55 a 59" "50 a 59" Varón 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Mujer 2
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 1
2004 2005 10 Catamarca "60 a 64" "60 a 69" Varón 4
2004 2005 10 Catamarca "65 a 69" "60 a 69" Mujer 1
2004 2005 10 Catamarca "65 a 69" "60 a 69" Mujer 2
2004 2005 10 Catamarca "65 a 69" "60 a 69" Varón 1
2004 2005 10 Catamarca "65 a 69" "60 a 69" Varón 5
2004 2005 10 Catamarca "70 a 74" "70 a 79" Mujer 5
2004 2005 10 Catamarca "70 a 74" "70 a 79" Varón 7
2004 2005 10 Catamarca "75 a 79" "70 a 79" Mujer 3
2004 2005 10 Catamarca "75 a 79" "70 a 79" Mujer 4
2004 2005 10 Catamarca "75 a 79" "70 a 79" Varón 2
2004 2005 10 Catamarca "75 a 79" "70 a 79" Varón 1
2004 2005 10 Catamarca 80+ 80+ Mujer 1
2004 2005 10 Catamarca 80+ 80+ Mujer 2
2004 2005 10 Catamarca 80+ 80+ Mujer 1
2004 2005 10 Catamarca 80+ 80+ Mujer 2
2004 2005 10 Catamarca 80+ 80+ Varón 2
2004 2005 10 Catamarca 80+ 80+ Varón 4
2004 2005 10 Catamarca 80+ 80+ Varón 1
2004 2005 10 Catamarca 80+ 80+ Varón 4
2004 2005 14 Córdoba "20 a 24" "20 a 29" Mujer 0
2004 2005 14 Córdoba "20 a 24" "20 a 29" Varón 1
2004 2005 14 Córdoba "25 a 29" "20 a 29" Mujer 0
2004 2005 14 Córdoba "25 a 29" "20 a 29" Varón 0
2004 2005 14 Córdoba "30 a 34" "30 a 39" Mujer 1
2004 2005 14 Córdoba "30 a 34" "30 a 39" Mujer 1
2004 2005 14 Córdoba "30 a 34" "30 a 39" Varón 0
2004 2005 14 Córdoba "35 a 39" "30 a 39" Mujer 1
2004 2005 14 Córdoba "35 a 39" "30 a 39" Varón 1
2004 2005 14 Córdoba "40 a 44" "40 a 49" Mujer 1
2004 2005 14 Córdoba "40 a 44" "40 a 49" Mujer 3
2004 2005 14 Córdoba "40 a 44" "40 a 49" Varón 2
2004 2005 14 Córdoba "40 a 44" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Mujer 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Mujer 4
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 1
2004 2005 14 Córdoba "45 a 49" "40 a 49" Varón 4
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 1
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 5
2004 2005 14 Córdoba "50 a 54" "50 a 59" Mujer 7
2004 2005 14 Córdoba "50 a 54" "50 a 59" Varón 1
2004 2005 14 Córdoba "50 a 54" "50 a 59" Varón 4
2004 2005 14 Córdoba "50 a 54" "50 a 59" Varón 19
2004 2005 14 Córdoba "55 a 59" "50 a 59" Mujer 1
2004 2005 14 Córdoba "55 a 59" "50 a 59" Mujer 6
2004 2005 14 Córdoba "55 a 59" "50 a 59" Mujer 24
2004 2005 14 Córdoba "55 a 59" "50 a 59" Varón 5
2004 2005 14 Córdoba "55 a 59" "50 a 59" Varón 9
2004 2005 14 Córdoba "55 a 59" "50 a 59" Varón 33
2004 2005 14 Córdoba "60 a 64" "60 a 69" Mujer 3
2004 2005 14 Córdoba "60 a 64" "60 a 69" Mujer 11
2004 2005 14 Córdoba "60 a 64" "60 a 69" Mujer 33
2004 2005 14 Córdoba "60 a 64" "60 a 69" Varón 6
2004 2005 14 Córdoba "60 a 64" "60 a 69" Varón 14
2004 2005 14 Córdoba "60 a 64" "60 a 69" Varón 38
2004 2005 14 Córdoba "65 a 69" "60 a 69" Mujer 4
2004 2005 14 Córdoba "65 a 69" "60 a 69" Mujer 15
2004 2005 14 Córdoba "65 a 69" "60 a 69" Mujer 37
2004 2005 14 Córdoba "65 a 69" "60 a 69" Varón 6
2004 2005 14 Córdoba "65 a 69" "60 a 69" Varón 24
2004 2005 14 Córdoba "65 a 69" "60 a 69" Varón 58
2004 2005 14 Córdoba "70 a 74" "70 a 79" Mujer 3
2004 2005 14 Córdoba "70 a 74" "70 a 79" Mujer 11
2004 2005 14 Córdoba "70 a 74" "70 a 79" Mujer 53
2004 2005 14 Córdoba "70 a 74" "70 a 79" Varón 1
2004 2005 14 Córdoba "70 a 74" "70 a 79" Varón 22
2004 2005 14 Córdoba "70 a 74" "70 a 79" Varón 98
2004 2005 14 Córdoba "75 a 79" "70 a 79" Mujer 4
2004 2005 14 Córdoba "75 a 79" "70 a 79" Mujer 22
2004 2005 14 Córdoba "75 a 79" "70 a 79" Mujer 71
2004 2005 14 Córdoba "75 a 79" "70 a 79" Varón 6
2004 2005 14 Córdoba "75 a 79" "70 a 79" Varón 31
2004 2005 14 Córdoba "75 a 79" "70 a 79" Varón 85
2004 2005 14 Córdoba 80+ 80+ Mujer 6
2004 2005 14 Córdoba 80+ 80+ Mujer 22
2004 2005 14 Córdoba 80+ 80+ Mujer 69
2004 2005 14 Córdoba 80+ 80+ Mujer 3
2004 2005 14 Córdoba 80+ 80+ Mujer 20
2004 2005 14 Córdoba 80+ 80+ Mujer 75
2004 2005 14 Córdoba 80+ 80+ Varón 2
2004 2005 14 Córdoba 80+ 80+ Varón 16
2004 2005 14 Córdoba 80+ 80+ Varón 50
2004 2005 14 Córdoba 80+ 80+ Varón 1
2004 2005 14 Córdoba 80+ 80+ Varón 9
2004 2005 14 Córdoba 80+ 80+ Varón 32
2004 2005 18 Corrientes "20 a 24" "20 a 29" Mujer 0
2004 2005 18 Corrientes "20 a 24" "20 a 29" Varón 0
2004 2005 18 Corrientes "25 a 29" "20 a 29" Mujer 0
2004 2005 18 Corrientes "25 a 29" "20 a 29" Varón 0
2004 2005 18 Corrientes "30 a 34" "30 a 39" Mujer 0
2004 2005 18 Corrientes "30 a 34" "30 a 39" Varón 0
2004 2005 18 Corrientes "35 a 39" "30 a 39" Mujer 0
2004 2005 18 Corrientes "35 a 39" "30 a 39" Varón 0
2004 2005 18 Corrientes "40 a 44" "40 a 49" Mujer 1
2004 2005 18 Corrientes "40 a 44" "40 a 49" Varón 1
2004 2005 18 Corrientes "40 a 44" "40 a 49" Varón 1
2004 2005 18 Corrientes "45 a 49" "40 a 49" Mujer 3
2004 2005 18 Corrientes "45 a 49" "40 a 49" Varón 3
2004 2005 18 Corrientes "50 a 54" "50 a 59" Mujer 1
2004 2005 18 Corrientes "50 a 54" "50 a 59" Mujer 1
2004 2005 18 Corrientes "50 a 54" "50 a 59" Mujer 5
2004 2005 18 Corrientes "50 a 54" "50 a 59" Varón 1
2004 2005 18 Corrientes "50 a 54" "50 a 59" Varón 2
2004 2005 18 Corrientes "55 a 59" "50 a 59" Mujer 2
2004 2005 18 Corrientes "55 a 59" "50 a 59" Mujer 2
2004 2005 18 Corrientes "55 a 59" "50 a 59" Varón 1
2004 2005 18 Corrientes "55 a 59" "50 a 59" Varón 6
2004 2005 18 Corrientes "60 a 64" "60 a 69" Mujer 2
2004 2005 18 Corrientes "60 a 64" "60 a 69" Mujer 7
2004 2005 18 Corrientes "60 a 64" "60 a 69" Varón 4
2004 2005 18 Corrientes "60 a 64" "60 a 69" Varón 13
2004 2005 18 Corrientes "65 a 69" "60 a 69" Mujer 3
2004 2005 18 Corrientes "65 a 69" "60 a 69" Mujer 5
2004 2005 18 Corrientes "65 a 69" "60 a 69" Varón 2
2004 2005 18 Corrientes "65 a 69" "60 a 69" Varón 13
2004 2005 18 Corrientes "70 a 74" "70 a 79" Mujer 5
2004 2005 18 Corrientes "70 a 74" "70 a 79" Mujer 16
2004 2005 18 Corrientes "70 a 74" "70 a 79" Varón 3
2004 2005 18 Corrientes "70 a 74" "70 a 79" Varón 8
2004 2005 18 Corrientes "75 a 79" "70 a 79" Mujer 2
2004 2005 18 Corrientes "75 a 79" "70 a 79" Mujer 9
2004 2005 18 Corrientes "75 a 79" "70 a 79" Varón 5
2004 2005 18 Corrientes "75 a 79" "70 a 79" Varón 11
2004 2005 18 Corrientes 80+ 80+ Mujer 3
2004 2005 18 Corrientes 80+ 80+ Mujer 19
2004 2005 18 Corrientes 80+ 80+ Mujer 4
2004 2005 18 Corrientes 80+ 80+ Mujer 5
2004 2005 18 Corrientes 80+ 80+ Varón 1
2004 2005 18 Corrientes 80+ 80+ Varón 2
2004 2005 18 Corrientes 80+ 80+ Varón 7
2004 2005 18 Corrientes 80+ 80+ Varón 3
2004 2005 18 Corrientes 80+ 80+ Varón 4
2004 2005 22 Chaco "20 a 24" "20 a 29" Mujer 0
2004 2005 22 Chaco "20 a 24" "20 a 29" Varón 0
2004 2005 22 Chaco "25 a 29" "20 a 29" Mujer 0
2004 2005 22 Chaco "25 a 29" "20 a 29" Varón 0
2004 2005 22 Chaco "30 a 34" "30 a 39" Mujer 0
2004 2005 22 Chaco "30 a 34" "30 a 39" Varón 0
2004 2005 22 Chaco "35 a 39" "30 a 39" Mujer 0
2004 2005 22 Chaco "35 a 39" "30 a 39" Varón 2
2004 2005 22 Chaco "40 a 44" "40 a 49" Mujer 1
2004 2005 22 Chaco "40 a 44" "40 a 49" Mujer 2
2004 2005 22 Chaco "40 a 44" "40 a 49" Varón 1
2004 2005 22 Chaco "40 a 44" "40 a 49" Varón 1
2004 2005 22 Chaco "45 a 49" "40 a 49" Mujer 1
2004 2005 22 Chaco "45 a 49" "40 a 49" Mujer 1
2004 2005 22 Chaco "45 a 49" "40 a 49" Varón 1
2004 2005 22 Chaco "50 a 54" "50 a 59" Mujer 1
2004 2005 22 Chaco "50 a 54" "50 a 59" Mujer 2
2004 2005 22 Chaco "50 a 54" "50 a 59" Mujer 6
2004 2005 22 Chaco "50 a 54" "50 a 59" Varón 3
2004 2005 22 Chaco "50 a 54" "50 a 59" Varón 2
2004 2005 22 Chaco "55 a 59" "50 a 59" Mujer 3
2004 2005 22 Chaco "55 a 59" "50 a 59" Mujer 5
2004 2005 22 Chaco "55 a 59" "50 a 59" Varón 3
2004 2005 22 Chaco "55 a 59" "50 a 59" Varón 11
2004 2005 22 Chaco "60 a 64" "60 a 69" Mujer 1
2004 2005 22 Chaco "60 a 64" "60 a 69" Mujer 6
2004 2005 22 Chaco "60 a 64" "60 a 69" Mujer 8
2004 2005 22 Chaco "60 a 64" "60 a 69" Varón 4
2004 2005 22 Chaco "60 a 64" "60 a 69" Varón 6
2004 2005 22 Chaco "65 a 69" "60 a 69" Mujer 3
2004 2005 22 Chaco "65 a 69" "60 a 69" Mujer 11
2004 2005 22 Chaco "65 a 69" "60 a 69" Varón 5
2004 2005 22 Chaco "65 a 69" "60 a 69" Varón 8
2004 2005 22 Chaco "70 a 74" "70 a 79" Mujer 1
2004 2005 22 Chaco "70 a 74" "70 a 79" Mujer 1
2004 2005 22 Chaco "70 a 74" "70 a 79" Mujer 11
2004 2005 22 Chaco "70 a 74" "70 a 79" Varón 4
2004 2005 22 Chaco "70 a 74" "70 a 79" Varón 13
2004 2005 22 Chaco "75 a 79" "70 a 79" Mujer 7
2004 2005 22 Chaco "75 a 79" "70 a 79" Mujer 14
2004 2005 22 Chaco "75 a 79" "70 a 79" Varón 2
2004 2005 22 Chaco "75 a 79" "70 a 79" Varón 11
2004 2005 22 Chaco 80+ 80+ Mujer 5
2004 2005 22 Chaco 80+ 80+ Mujer 10
2004 2005 22 Chaco 80+ 80+ Mujer 1
2004 2005 22 Chaco 80+ 80+ Mujer 2
2004 2005 22 Chaco 80+ 80+ Mujer 6
2004 2005 22 Chaco 80+ 80+ Varón 1
2004 2005 22 Chaco 80+ 80+ Varón 8
2004 2005 22 Chaco 80+ 80+ Varón 1
2004 2005 22 Chaco 80+ 80+ Varón 3
2004 2005 26 Chubut "20 a 24" "20 a 29" Mujer 0
2004 2005 26 Chubut "20 a 24" "20 a 29" Varón 0
2004 2005 26 Chubut "25 a 29" "20 a 29" Mujer 0
2004 2005 26 Chubut "25 a 29" "20 a 29" Varón 0
2004 2005 26 Chubut "30 a 34" "30 a 39" Mujer 1
2004 2005 26 Chubut "30 a 34" "30 a 39" Varón 1
2004 2005 26 Chubut "35 a 39" "30 a 39" Mujer 0
2004 2005 26 Chubut "35 a 39" "30 a 39" Varón 0
2004 2005 26 Chubut "40 a 44" "40 a 49" Mujer 0
2004 2005 26 Chubut "40 a 44" "40 a 49" Varón 0
2004 2005 26 Chubut "45 a 49" "40 a 49" Mujer 1
2004 2005 26 Chubut "45 a 49" "40 a 49" Varón 1
2004 2005 26 Chubut "50 a 54" "50 a 59" Mujer 1
2004 2005 26 Chubut "50 a 54" "50 a 59" Varón 1
2004 2005 26 Chubut "50 a 54" "50 a 59" Varón 2
2004 2005 26 Chubut "55 a 59" "50 a 59" Mujer 1
2004 2005 26 Chubut "55 a 59" "50 a 59" Varón 2
2004 2005 26 Chubut "60 a 64" "60 a 69" Mujer 3
2004 2005 26 Chubut "60 a 64" "60 a 69" Mujer 5
2004 2005 26 Chubut "60 a 64" "60 a 69" Varón 2
2004 2005 26 Chubut "60 a 64" "60 a 69" Varón 1
2004 2005 26 Chubut "65 a 69" "60 a 69" Mujer 1
2004 2005 26 Chubut "65 a 69" "60 a 69" Mujer 1
2004 2005 26 Chubut "65 a 69" "60 a 69" Mujer 3
2004 2005 26 Chubut "65 a 69" "60 a 69" Varón 1
2004 2005 26 Chubut "65 a 69" "60 a 69" Varón 6
2004 2005 26 Chubut "70 a 74" "70 a 79" Mujer 1
2004 2005 26 Chubut "70 a 74" "70 a 79" Varón 2
2004 2005 26 Chubut "70 a 74" "70 a 79" Varón 4
2004 2005 26 Chubut "70 a 74" "70 a 79" Varón 4
2004 2005 26 Chubut "75 a 79" "70 a 79" Mujer 1
2004 2005 26 Chubut "75 a 79" "70 a 79" Mujer 1
2004 2005 26 Chubut "75 a 79" "70 a 79" Varón 1
2004 2005 26 Chubut "75 a 79" "70 a 79" Varón 5
2004 2005 26 Chubut 80+ 80+ Mujer 1
2004 2005 26 Chubut 80+ 80+ Mujer 3
2004 2005 26 Chubut 80+ 80+ Mujer 3
2004 2005 26 Chubut 80+ 80+ Varón 2
2004 2005 26 Chubut 80+ 80+ Varón 2
2004 2005 30 "Entre Ríos" "20 a 24" "20 a 29" Mujer 0
2004 2005 30 "Entre Ríos" "20 a 24" "20 a 29" Varón 0
2004 2005 30 "Entre Ríos" "25 a 29" "20 a 29" Mujer 0
2004 2005 30 "Entre Ríos" "25 a 29" "20 a 29" Varón 0
2004 2005 30 "Entre Ríos" "30 a 34" "30 a 39" Mujer 0
2004 2005 30 "Entre Ríos" "30 a 34" "30 a 39" Varón 0
2004 2005 30 "Entre Ríos" "35 a 39" "30 a 39" Mujer 1
2004 2005 30 "Entre Ríos" "35 a 39" "30 a 39" Varón 0
2004 2005 30 "Entre Ríos" "40 a 44" "40 a 49" Mujer 0
2004 2005 30 "Entre Ríos" "40 a 44" "40 a 49" Varón 0
2004 2005 30 "Entre Ríos" "45 a 49" "40 a 49" Mujer 2
2004 2005 30 "Entre Ríos" "45 a 49" "40 a 49" Varón 1
2004 2005 30 "Entre Ríos" "45 a 49" "40 a 49" Varón 1
2004 2005 30 "Entre Ríos" "45 a 49" "40 a 49" Varón 1
2004 2005 30 "Entre Ríos" "50 a 54" "50 a 59" Mujer 6
2004 2005 30 "Entre Ríos" "50 a 54" "50 a 59" Varón 5
2004 2005 30 "Entre Ríos" "55 a 59" "50 a 59" Mujer 3
2004 2005 30 "Entre Ríos" "55 a 59" "50 a 59" Mujer 11
2004 2005 30 "Entre Ríos" "55 a 59" "50 a 59" Varón 4
2004 2005 30 "Entre Ríos" "55 a 59" "50 a 59" Varón 13
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Mujer 1
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Mujer 1
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Mujer 11
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Varón 3
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Varón 2
2004 2005 30 "Entre Ríos" "60 a 64" "60 a 69" Varón 18
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Mujer 2
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Mujer 1
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Mujer 13
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Varón 3
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Varón 2
2004 2005 30 "Entre Ríos" "65 a 69" "60 a 69" Varón 29
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Mujer 1
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Mujer 1
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Mujer 13
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Varón 2
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Varón 5
2004 2005 30 "Entre Ríos" "70 a 74" "70 a 79" Varón 24
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Mujer 2
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Mujer 2
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Mujer 23
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Varón 1
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Varón 4
2004 2005 30 "Entre Ríos" "75 a 79" "70 a 79" Varón 29
2004 2005 30 "Entre Ríos" 80+ 80+ Mujer 1
2004 2005 30 "Entre Ríos" 80+ 80+ Mujer 4
2004 2005 30 "Entre Ríos" 80+ 80+ Mujer 22
2004 2005 30 "Entre Ríos" 80+ 80+ Mujer 6
2004 2005 30 "Entre Ríos" 80+ 80+ Mujer 28
2004 2005 30 "Entre Ríos" 80+ 80+ Varón 1
