anio_enfr,prov_nombre,grupo_edad_10,sexo,defun_tri,defun_mean_tri,esp_vida,AVP
2018,Santa Cruz,40 a 49,Mujer,9,3,33.73444144969978,101.20332434909935
2018,Santa Cruz,40 a 49,Varón,7,2.33,38.79985592938144,90.40366431545876
2018,Santa Cruz,50 a 59,Mujer,13,4.33,24.912328939637863,107.87038430863196
2018,Santa Cruz,50 a 59,Varón,26,8.67,29.629262971095834,256.88570995940086
2018,Santa Cruz,60 a 69,Mujer,21,7,17.132067211169673,119.92447047818771
2018,Santa Cruz,60 a 69,Varón,35,11.67,21.107751084002853,246.32745515031328
2018,Santa Cruz,70 a 79,Mujer,41,13.67,10.831570240779218,148.0675651914519
2018,Santa Cruz,70 a 79,Varón,44,14.67,13.564680967142696,198.99386978798336
2018,Santa Cruz,80+,Mujer,49,16.33,5.992080760900239,97.85067882550089
2018,Santa Cruz,80+,Varón,31,10.33,7.2709457701241185,75.10886980538214
2018,Santa Fe,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2018,Santa Fe,20 a 29,Varón,2,0.67,57.98552512050548,38.85030183073867
2018,Santa Fe,30 a 39,Mujer,9,3,43.00255580888662,129.00766742665985
2018,Santa Fe,30 a 39,Varón,8,2.67,48.31021760118011,128.9882809951509
2018,Santa Fe,40 a 49,Mujer,22,7.33,33.73444144969978,247.2734558262994
2018,Santa Fe,40 a 49,Varón,25,8.33,38.79985592938144,323.20279989174736
2018,Santa Fe,50 a 59,Mujer,62,20.67,24.912328939637863,514.9378391823146
2018,Santa Fe,50 a 59,Varón,116,38.67,29.629262971095834,1145.7635990922759
2018,Santa Fe,60 a 69,Mujer,164,54.67,17.132067211169673,936.6101144346461
2018,Santa Fe,60 a 69,Varón,254,84.67,21.107751084002853,1787.1932842825215
2018,Santa Fe,70 a 79,Mujer,261,87,10.831570240779218,942.346610947792
2018,Santa Fe,70 a 79,Varón,321,107,13.564680967142696,1451.4208634842685
2018,Santa Fe,80+,Mujer,368,122.67,5.992080760900239,735.0485469396324
2018,Santa Fe,80+,Varón,275,91.67,7.2709457701241185,666.5275987472779
2018,Santiago del Estero,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2018,Santiago del Estero,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2018,Santiago del Estero,30 a 39,Mujer,7,2.33,43.00255580888662,100.19595503470583
2018,Santiago del Estero,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2018,Santiago del Estero,40 a 49,Mujer,7,2.33,33.73444144969978,78.60124857780049
2018,Santiago del Estero,40 a 49,Varón,15,5,38.79985592938144,193.99927964690718
2018,Santiago del Estero,50 a 59,Mujer,27,9,24.912328939637863,224.21096045674076
2018,Santiago del Estero,50 a 59,Varón,40,13.33,29.629262971095834,394.9580754047075
2018,Santiago del Estero,60 a 69,Mujer,52,17.33,17.132067211169673,296.8987247695704
2018,Santiago del Estero,60 a 69,Varón,70,23.33,21.107751084002853,492.44383278978654
2018,Santiago del Estero,70 a 79,Mujer,74,24.67,10.831570240779218,267.21483784002334
2018,Santiago del Estero,70 a 79,Varón,68,22.67,13.564680967142696,307.5113175251249
2018,Santiago del Estero,80+,Mujer,44,14.67,5.992080760900239,87.903824762406515
2018,Santiago del Estero,80+,Varón,39,13,7.2709457701241185,94.52229501161354
2018,Tierra del Fuego,20 a 29,Mujer,0,0,52.3461872453209,0
2018,Tierra del Fuego,20 a 29,Varón,0,0,57.98552512050548,0
2018,Tierra del Fuego,30 a 39,Mujer,0,0,43.00255580888662,0
2018,Tierra del Fuego,30 a 39,Varón,0,0,48.31021760118011,0
2018,Tierra del Fuego,40 a 49,Mujer,0,0,33.73444144969978,0
2018,Tierra del Fuego,40 a 49,Varón,1,0.33,38.79985592938144,12.803952456695875
2018,Tierra del Fuego,50 a 59,Mujer,2,0.67,24.912328939637863,16.69126038955737
2018,Tierra del Fuego,50 a 59,Varón,8,2.67,29.629262971095834,79.11013213282587
2018,Tierra del Fuego,60 a 69,Mujer,9,3,17.132067211169673,51.39620163350902
2018,Tierra del Fuego,60 a 69,Varón,25,8.33,21.107751084002853,175.82756652974376
2018,Tierra del Fuego,70 a 79,Mujer,10,3.33,10.831570240779218,36.0691289017948
2018,Tierra del Fuego,70 a 79,Varón,12,4,13.564680967142696,54.25872386857078
2018,Tierra del Fuego,80+,Mujer,6,2,5.992080760900239,11.984161521800479
2018,Tierra del Fuego,80+,Varón,9,3,7.2709457701241185,21.812837310372355
2018,Tucumán,20 a 29,Mujer,5,1.67,52.3461872453209,87.4181326996859
2018,Tucumán,20 a 29,Varón,4,1.33,57.98552512050548,77.12074841027228
