anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,dm_total,dm_total_cv,dm_prev,dm_prev_cv
2005,66,Salta,70 a 79,Mujer,1803,0.31,0.14,0.31
2005,66,Salta,70 a 79,Varón,1896,0.5,0.12,0.48
2005,66,Salta,80+,Mujer,1094,0.42,0.13,0.47
2005,66,Salta,80+,Varón,357,0.58,0.1,0.63
2005,70,San Juan,20 a 29,Mujer,2096,0.37,0.05,0.36
2005,70,San Juan,20 a 29,Varón,1460,0.43,0.03,0.42
2005,70,San Juan,30 a 39,Mujer,4299,0.28,0.1,0.27
2005,70,San Juan,30 a 39,Varón,1355,0.51,0.04,0.5
2005,70,San Juan,40 a 49,Mujer,2378,0.3,0.08,0.29
2005,70,San Juan,40 a 49,Varón,980,0.42,0.04,0.42
2005,70,San Juan,50 a 59,Mujer,4218,0.27,0.14,0.24
2005,70,San Juan,50 a 59,Varón,1837,0.46,0.07,0.44
2005,70,San Juan,60 a 69,Mujer,3355,0.28,0.18,0.25
2005,70,San Juan,60 a 69,Varón,2807,0.31,0.17,0.29
2005,70,San Juan,70 a 79,Mujer,3537,0.28,0.26,0.23
2005,70,San Juan,70 a 79,Varón,3317,0.32,0.33,0.26
2005,70,San Juan,80+,Mujer,412,0.74,0.09,0.7
2005,70,San Juan,80+,Varón,1357,0.52,0.32,0.4
2005,74,San Luis,20 a 29,Mujer,1355,0.3,0.05,0.29
2005,74,San Luis,20 a 29,Varón,547,0.66,0.02,0.66
2005,74,San Luis,30 a 39,Mujer,3780,0.23,0.16,0.2
2005,74,San Luis,30 a 39,Varón,1199,0.38,0.05,0.37
2005,74,San Luis,40 a 49,Mujer,2362,0.23,0.12,0.22
2005,74,San Luis,40 a 49,Varón,1270,0.39,0.08,0.37
2005,74,San Luis,50 a 59,Mujer,3101,0.23,0.15,0.22
2005,74,San Luis,50 a 59,Varón,2100,0.31,0.13,0.29
2005,74,San Luis,60 a 69,Mujer,908,0.34,0.09,0.33
2005,74,San Luis,60 a 69,Varón,1909,0.37,0.22,0.33
2005,74,San Luis,70 a 79,Mujer,695,0.35,0.1,0.34
2005,74,San Luis,70 a 79,Varón,629,0.39,0.12,0.39
2005,74,San Luis,80+,Mujer,686,0.42,0.21,0.38
2005,74,San Luis,80+,Varón,0,NA,0,NA
2005,78,Santa Cruz,20 a 29,Mujer,176,0.48,0.01,0.48
2005,78,Santa Cruz,20 a 29,Varón,183,1,0.01,0.99
2005,78,Santa Cruz,30 a 39,Mujer,828,0.39,0.06,0.38
2005,78,Santa Cruz,30 a 39,Varón,322,0.58,0.03,0.58
2005,78,Santa Cruz,40 a 49,Mujer,1507,0.26,0.15,0.24
2005,78,Santa Cruz,40 a 49,Varón,1156,0.33,0.1,0.31
2005,78,Santa Cruz,50 a 59,Mujer,1237,0.28,0.16,0.26
2005,78,Santa Cruz,50 a 59,Varón,1501,0.29,0.15,0.27
2005,78,Santa Cruz,60 a 69,Mujer,1039,0.3,0.17,0.28
2005,78,Santa Cruz,60 a 69,Varón,772,0.34,0.14,0.32
2005,78,Santa Cruz,70 a 79,Mujer,447,0.39,0.15,0.37
2005,78,Santa Cruz,70 a 79,Varón,177,0.53,0.15,0.49
2005,78,Santa Cruz,80+,Mujer,82,0.6,0.15,0.61
2005,78,Santa Cruz,80+,Varón,0,NA,0,NA
2005,82,Santa Fe,20 a 29,Mujer,10543,0.41,0.05,0.4
2005,82,Santa Fe,20 a 29,Varón,5567,0.48,0.03,0.48
2005,82,Santa Fe,30 a 39,Mujer,6543,0.45,0.03,0.45
2005,82,Santa Fe,30 a 39,Varón,6731,0.53,0.04,0.52
2005,82,Santa Fe,40 a 49,Mujer,5941,0.34,0.05,0.34
2005,82,Santa Fe,40 a 49,Varón,8251,0.36,0.05,0.36
2005,82,Santa Fe,50 a 59,Mujer,19556,0.27,0.14,0.25
2005,82,Santa Fe,50 a 59,Varón,29172,0.28,0.22,0.25
2005,82,Santa Fe,60 a 69,Mujer,20607,0.25,0.18,0.22
2005,82,Santa Fe,60 a 69,Varón,27203,0.29,0.3,0.23
2005,82,Santa Fe,70 a 79,Mujer,6670,0.34,0.07,0.34
2005,82,Santa Fe,70 a 79,Varón,7529,0.5,0.12,0.47
2005,82,Santa Fe,80+,Mujer,2750,0.5,0.06,0.49
2005,82,Santa Fe,80+,Varón,1164,0.5,0.11,0.52
2005,86,Santiago del Estero,20 a 29,Mujer,1364,0.39,0.03,0.39
2005,86,Santiago del Estero,20 a 29,Varón,1061,0.52,0.03,0.51
2005,86,Santiago del Estero,30 a 39,Mujer,2190,0.28,0.06,0.27
2005,86,Santiago del Estero,30 a 39,Varón,1989,0.31,0.07,0.3
2005,86,Santiago del Estero,40 a 49,Mujer,2941,0.25,0.12,0.24
2005,86,Santiago del Estero,40 a 49,Varón,2108,0.34,0.08,0.33
2005,86,Santiago del Estero,50 a 59,Mujer,3726,0.27,0.15,0.25
2005,86,Santiago del Estero,50 a 59,Varón,3914,0.25,0.18,0.23
2005,86,Santiago del Estero,60 a 69,Mujer,2026,0.39,0.15,0.36
2005,86,Santiago del Estero,60 a 69,Varón,3855,0.26,0.3,0.22
2005,86,Santiago del Estero,70 a 79,Mujer,1293,0.29,0.12,0.28
2005,86,Santiago del Estero,70 a 79,Varón,1973,0.3,0.33,0.24
2005,86,Santiago del Estero,80+,Mujer,409,0.55,0.08,0.55
2005,86,Santiago del Estero,80+,Varón,318,0.64,0.09,0.63
2005,90,Tucumán,20 a 29,Mujer,1385,0.46,0.01,0.46
2005,90,Tucumán,20 a 29,Varón,0,NA,0,NA
2005,90,Tucumán,30 a 39,Mujer,7861,0.28,0.1,0.26
2005,90,Tucumán,30 a 39,Varón,314,1,0.01,1
2005,90,Tucumán,40 a 49,Mujer,2868,0.37,0.05,0.37
2005,90,Tucumán,40 a 49,Varón,2532,0.44,0.05,0.44
2005,90,Tucumán,50 a 59,Mujer,8538,0.25,0.16,0.23
2005,90,Tucumán,50 a 59,Varón,3473,0.37,0.06,0.37
2005,90,Tucumán,60 a 69,Mujer,8759,0.25,0.31,0.2
2005,90,Tucumán,60 a 69,Varón,6996,0.27,0.23,0.24
2005,90,Tucumán,70 a 79,Mujer,2621,0.53,0.1,0.49
2005,90,Tucumán,70 a 79,Varón,1852,0.57,0.1,0.53
2005,90,Tucumán,80+,Mujer,1472,0.61,0.13,0.57
2005,90,Tucumán,80+,Varón,1396,0.72,0.24,0.63
2005,94,Tierra del Fuego,20 a 29,Mujer,512,0.39,0.07,0.38
2005,94,Tierra del Fuego,20 a 29,Varón,158,0.75,0.02,0.74
2005,94,Tierra del Fuego,30 a 39,Mujer,1543,0.23,0.16,0.21
2005,94,Tierra del Fuego,30 a 39,Varón,460,0.4,0.05,0.39
2005,94,Tierra del Fuego,40 a 49,Mujer,921,0.25,0.11,0.23
2005,94,Tierra del Fuego,40 a 49,Varón,522,0.38,0.07,0.36
2005,94,Tierra del Fuego,50 a 59,Mujer,834,0.28,0.19,0.25
2005,94,Tierra del Fuego,50 a 59,Varón,343,0.4,0.07,0.4
2005,94,Tierra del Fuego,60 a 69,Mujer,270,0.4,0.18,0.38
2005,94,Tierra del Fuego,60 a 69,Varón,311,0.45,0.25,0.37
2005,94,Tierra del Fuego,70 a 79,Mujer,82,0.61,0.16,0.6
2005,94,Tierra del Fuego,70 a 79,Varón,169,0.47,0.24,0.47
2005,94,Tierra del Fuego,80+,Mujer,17,1,0.07,1.06
2005,94,Tierra del Fuego,80+,Varón,50,1,0.25,0.92
2009,2,CABA,20 a 29,Mujer,7595,0.6,0.03,0.6
2009,2,CABA,20 a 29,Varón,3744,1,0.02,0.99
2009,2,CABA,30 a 39,Mujer,10717,0.45,0.04,0.44
2009,2,CABA,30 a 39,Varón,5730,0.62,0.03,0.62
2009,2,CABA,40 a 49,Mujer,13745,0.49,0.07,0.47
2009,2,CABA,40 a 49,Varón,14415,0.48,0.1,0.45
2009,2,CABA,50 a 59,Mujer,12937,0.44,0.06,0.43
2009,2,CABA,50 a 59,Varón,13014,0.43,0.1,0.41
2009,2,CABA,60 a 69,Mujer,27050,0.31,0.16,0.28
2009,2,CABA,60 a 69,Varón,12028,0.42,0.09,0.41
2009,2,CABA,70 a 79,Mujer,11696,0.4,0.1,0.38
2009,2,CABA,70 a 79,Varón,17344,0.37,0.2,0.34
2009,2,CABA,80+,Mujer,10421,0.43,0.17,0.4
2009,2,CABA,80+,Varón,12390,0.43,0.23,0.38
2009,6,Buenos Aires,20 a 29,Mujer,41404,0.25,0.04,0.25
2009,6,Buenos Aires,20 a 29,Varón,27394,0.35,0.02,0.34
2009,6,Buenos Aires,30 a 39,Mujer,96556,0.17,0.09,0.16
2009,6,Buenos Aires,30 a 39,Varón,35096,0.26,0.04,0.26
2009,6,Buenos Aires,40 a 49,Mujer,84610,0.17,0.09,0.16
2009,6,Buenos Aires,40 a 49,Varón,39210,0.24,0.05,0.24
2009,6,Buenos Aires,50 a 59,Mujer,96059,0.16,0.12,0.15
2009,6,Buenos Aires,50 a 59,Varón,91662,0.18,0.13,0.17
2009,6,Buenos Aires,60 a 69,Mujer,133607,0.13,0.19,0.12
2009,6,Buenos Aires,60 a 69,Varón,121705,0.16,0.22,0.14
2009,6,Buenos Aires,70 a 79,Mujer,91000,0.15,0.22,0.13
2009,6,Buenos Aires,70 a 79,Varón,81218,0.17,0.24,0.15
2009,6,Buenos Aires,80+,Mujer,28723,0.24,0.15,0.23
2009,6,Buenos Aires,80+,Varón,20690,0.3,0.18,0.28
2009,10,Catamarca,20 a 29,Mujer,1450,0.35,0.07,0.34
2009,10,Catamarca,20 a 29,Varón,598,0.68,0.03,0.67
2009,10,Catamarca,30 a 39,Mujer,977,0.38,0.05,0.37
2009,10,Catamarca,30 a 39,Varón,0,NA,0,NA
2009,10,Catamarca,40 a 49,Mujer,1309,0.32,0.08,0.31
2009,10,Catamarca,40 a 49,Varón,859,0.37,0.06,0.36
2009,10,Catamarca,50 a 59,Mujer,3333,0.29,0.21,0.25
2009,10,Catamarca,50 a 59,Varón,2073,0.31,0.17,0.29
2009,10,Catamarca,60 a 69,Mujer,2935,0.26,0.3,0.21
2009,10,Catamarca,60 a 69,Varón,1999,0.32,0.3,0.27
2009,10,Catamarca,70 a 79,Mujer,1462,0.31,0.26,0.28
2009,10,Catamarca,70 a 79,Varón,180,0.76,0.06,0.74
2009,10,Catamarca,80+,Mujer,273,0.53,0.15,0.55
2009,10,Catamarca,80+,Varón,120,1,0.06,0.98
2009,14,Córdoba,20 a 29,Mujer,13729,0.33,0.06,0.32
2009,14,Córdoba,20 a 29,Varón,15594,0.34,0.07,0.33
2009,14,Córdoba,30 a 39,Mujer,13368,0.28,0.07,0.27
2009,14,Córdoba,30 a 39,Varón,7190,0.34,0.04,0.34
2009,14,Córdoba,40 a 49,Mujer,18691,0.25,0.11,0.24
2009,14,Córdoba,40 a 49,Varón,10669,0.32,0.07,0.31
2009,14,Córdoba,50 a 59,Mujer,17333,0.24,0.1,0.24
2009,14,Córdoba,50 a 59,Varón,17344,0.27,0.13,0.25
