anio,anio_enfr,prov_id,prov_nombre,grupo_edad,grupo_edad_10,sexo,proy_pob
2005,2005,14,Córdoba,25 a 29,20 a 29,Varón,147071
2005,2005,14,Córdoba,25 a 29,20 a 29,Mujer,145077
2005,2005,14,Córdoba,30 a 34,30 a 39,Varón,114674
2005,2005,14,Córdoba,30 a 34,30 a 39,Mujer,112298
2005,2005,14,Córdoba,35 a 39,30 a 39,Varón,98805
2005,2005,14,Córdoba,35 a 39,30 a 39,Mujer,98285
2005,2005,14,Córdoba,40 a 44,40 a 49,Varón,94441
2005,2005,14,Córdoba,40 a 44,40 a 49,Mujer,96473
2005,2005,14,Córdoba,45 a 49,40 a 49,Varón,86336
2005,2005,14,Córdoba,45 a 49,40 a 49,Mujer,92625
2005,2005,14,Córdoba,50 a 54,50 a 59,Varón,82182
2005,2005,14,Córdoba,50 a 54,50 a 59,Mujer,88570
2005,2005,14,Córdoba,55 a 59,50 a 59,Varón,73509
2005,2005,14,Córdoba,55 a 59,50 a 59,Mujer,81532
2005,2005,14,Córdoba,60 a 64,60 a 69,Varón,61945
2005,2005,14,Córdoba,60 a 64,60 a 69,Mujer,70968
2005,2005,14,Córdoba,65 a 69,60 a 69,Varón,51060
2005,2005,14,Córdoba,65 a 69,60 a 69,Mujer,62573
2005,2005,14,Córdoba,70 a 74,70 a 79,Varón,41111
2005,2005,14,Córdoba,70 a 74,70 a 79,Mujer,55610
2005,2005,14,Córdoba,75 a 79,70 a 79,Varón,29231
2005,2005,14,Córdoba,75 a 79,70 a 79,Mujer,45538
2005,2005,14,Córdoba,80+,80+,Varón,23479
2005,2005,14,Córdoba,80+,80+,Mujer,49847
2005,2005,18,Corrientes,20 a 24,20 a 29,Varón,44927
2005,2005,18,Corrientes,20 a 24,20 a 29,Mujer,43183
2005,2005,18,Corrientes,25 a 29,20 a 29,Varón,39287
2005,2005,18,Corrientes,25 a 29,20 a 29,Mujer,40202
2005,2005,18,Corrientes,30 a 34,30 a 39,Varón,30249
2005,2005,18,Corrientes,30 a 34,30 a 39,Mujer,31070
2005,2005,18,Corrientes,35 a 39,30 a 39,Varón,27499
2005,2005,18,Corrientes,35 a 39,30 a 39,Mujer,28084
2005,2005,18,Corrientes,40 a 44,40 a 49,Varón,27388
2005,2005,18,Corrientes,40 a 44,40 a 49,Mujer,27916
2005,2005,18,Corrientes,45 a 49,40 a 49,Varón,24543
2005,2005,18,Corrientes,45 a 49,40 a 49,Mujer,25475
2005,2005,18,Corrientes,50 a 54,50 a 59,Varón,22698
2005,2005,18,Corrientes,50 a 54,50 a 59,Mujer,22256
2005,2005,18,Corrientes,55 a 59,50 a 59,Varón,18189
2005,2005,18,Corrientes,55 a 59,50 a 59,Mujer,18138
2005,2005,18,Corrientes,60 a 64,60 a 69,Varón,13892
2005,2005,18,Corrientes,60 a 64,60 a 69,Mujer,15062
2005,2005,18,Corrientes,65 a 69,60 a 69,Varón,10975
2005,2005,18,Corrientes,65 a 69,60 a 69,Mujer,13321
2005,2005,18,Corrientes,70 a 74,70 a 79,Varón,8316
2005,2005,18,Corrientes,70 a 74,70 a 79,Mujer,10755
2005,2005,18,Corrientes,75 a 79,70 a 79,Varón,5705
2005,2005,18,Corrientes,75 a 79,70 a 79,Mujer,7879
2005,2005,18,Corrientes,80+,80+,Varón,4844
2005,2005,18,Corrientes,80+,80+,Mujer,8506
2005,2005,30,Entre Ríos,20 a 24,20 a 29,Varón,51488
2005,2005,30,Entre Ríos,20 a 24,20 a 29,Mujer,50012
2005,2005,30,Entre Ríos,25 a 29,20 a 29,Varón,47989
2005,2005,30,Entre Ríos,25 a 29,20 a 29,Mujer,46790
2005,2005,30,Entre Ríos,30 a 34,30 a 39,Varón,40923
2005,2005,30,Entre Ríos,30 a 34,30 a 39,Mujer,39963
2005,2005,30,Entre Ríos,35 a 39,30 a 39,Varón,37014
2005,2005,30,Entre Ríos,35 a 39,30 a 39,Mujer,36530
2005,2005,30,Entre Ríos,40 a 44,40 a 49,Varón,36044
2005,2005,30,Entre Ríos,40 a 44,40 a 49,Mujer,35832
2005,2005,30,Entre Ríos,45 a 49,40 a 49,Varón,32134
2005,2005,30,Entre Ríos,45 a 49,40 a 49,Mujer,34073
2005,2005,30,Entre Ríos,50 a 54,50 a 59,Varón,30785
2005,2005,30,Entre Ríos,50 a 54,50 a 59,Mujer,31525
2005,2005,30,Entre Ríos,55 a 59,50 a 59,Varón,26436
2005,2005,30,Entre Ríos,55 a 59,50 a 59,Mujer,27593
2005,2005,30,Entre Ríos,60 a 64,60 a 69,Varón,22018
2005,2005,30,Entre Ríos,60 a 64,60 a 69,Mujer,23859
2005,2005,30,Entre Ríos,65 a 69,60 a 69,Varón,17577
2005,2005,30,Entre Ríos,65 a 69,60 a 69,Mujer,21363
2005,2005,30,Entre Ríos,70 a 74,70 a 79,Varón,13237
2005,2005,30,Entre Ríos,70 a 74,70 a 79,Mujer,18708
2005,2005,30,Entre Ríos,75 a 79,70 a 79,Varón,9118
2005,2005,30,Entre Ríos,75 a 79,70 a 79,Mujer,15118
2005,2005,30,Entre Ríos,80+,80+,Varón,7874
2005,2005,30,Entre Ríos,80+,80+,Mujer,16969
