anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2013,82,Santa Fe,80+,Varón,2298,1362.22,0.59,0.12,0.07,0.56,Muy alta
2013,86,Santiago del Estero,35-39,Mujer,2378,935.67,0.39,0.12,0.04,0.37,Muy alta
2013,86,Santiago del Estero,35-39,Varón,2220,885.86,0.4,0.14,0.05,0.37,Muy alta
2013,86,Santiago del Estero,40-44,Mujer,4244,1425.49,0.34,0.24,0.07,0.29,Alta
2013,86,Santiago del Estero,40-44,Varón,1301,772.25,0.59,0.07,0.04,0.57,Muy alta
2013,86,Santiago del Estero,45-49,Mujer,2816,1222.56,0.43,0.16,0.06,0.39,Muy alta
2013,86,Santiago del Estero,45-49,Varón,2669,948.47,0.36,0.17,0.06,0.33,Muy alta
2013,86,Santiago del Estero,50-54,Mujer,3535,1170.88,0.33,0.21,0.06,0.3,Alta
2013,86,Santiago del Estero,50-54,Varón,1111,651.65,0.59,0.07,0.04,0.57,Muy alta
2013,86,Santiago del Estero,55-59,Mujer,1838,808.77,0.44,0.18,0.08,0.42,Muy alta
2013,86,Santiago del Estero,55-59,Varón,3447,1251,0.36,0.28,0.09,0.32,Muy alta
2013,86,Santiago del Estero,60-64,Mujer,2194,836,0.38,0.21,0.07,0.35,Muy alta
2013,86,Santiago del Estero,60-64,Varón,1920,912.1,0.48,0.3,0.12,0.39,Muy alta
2013,86,Santiago del Estero,65-69,Mujer,2870,1111.09,0.39,0.31,0.11,0.34,Muy alta
2013,86,Santiago del Estero,65-69,Varón,574,413.8,0.72,0.13,0.09,0.69,Muy alta
2013,86,Santiago del Estero,70-74,Mujer,1349,625.95,0.46,0.16,0.07,0.46,Muy alta
2013,86,Santiago del Estero,70-74,Varón,1752,1208.53,0.69,0.21,0.13,0.62,Muy alta
2013,86,Santiago del Estero,75-79,Mujer,1220,936.64,0.77,0.23,0.14,0.64,Muy alta
2013,86,Santiago del Estero,75-79,Varón,187,187,1,0.06,0.06,1.02,Muy alta
2013,86,Santiago del Estero,80+,Mujer,1852,1065.05,0.58,0.4,0.16,0.41,Muy alta
2013,86,Santiago del Estero,80+,Varón,795,636.1,0.8,0.24,0.16,0.68,Muy alta
2013,90,Tucumán,35-39,Mujer,3244,1430.1,0.44,0.08,0.03,0.42,Muy alta
2013,90,Tucumán,35-39,Varón,1150,691.44,0.6,0.03,0.02,0.6,Muy alta
2013,90,Tucumán,40-44,Mujer,3980,1599.93,0.4,0.11,0.04,0.38,Muy alta
2013,90,Tucumán,40-44,Varón,1704,927.88,0.54,0.06,0.03,0.53,Muy alta
2013,90,Tucumán,45-49,Mujer,4965,2064.68,0.42,0.16,0.06,0.38,Muy alta
2013,90,Tucumán,45-49,Varón,3826,1850.53,0.48,0.11,0.05,0.45,Muy alta
2013,90,Tucumán,50-54,Mujer,4205,1954.55,0.46,0.12,0.05,0.44,Muy alta
2013,90,Tucumán,50-54,Varón,6391,2703.83,0.42,0.21,0.08,0.37,Muy alta
2013,90,Tucumán,55-59,Mujer,6302,2591.27,0.41,0.27,0.09,0.34,Muy alta
2013,90,Tucumán,55-59,Varón,2272,1250.95,0.55,0.11,0.06,0.52,Muy alta
2013,90,Tucumán,60-64,Mujer,2734,1215.63,0.44,0.1,0.04,0.43,Muy alta
2013,90,Tucumán,60-64,Varón,2516,1002.78,0.4,0.11,0.05,0.39,Muy alta
2013,90,Tucumán,65-69,Mujer,4577,1567.72,0.34,0.21,0.07,0.31,Muy alta
2013,90,Tucumán,65-69,Varón,3420,1666.41,0.49,0.23,0.1,0.43,Muy alta
2013,90,Tucumán,70-74,Mujer,1791,865.45,0.48,0.13,0.06,0.46,Muy alta
2013,90,Tucumán,70-74,Varón,2781,1400.12,0.5,0.23,0.1,0.44,Muy alta
2013,90,Tucumán,75-79,Mujer,2534,959.98,0.38,0.27,0.09,0.33,Muy alta
2013,90,Tucumán,75-79,Varón,1849,1121.55,0.61,0.24,0.13,0.52,Muy alta
2013,90,Tucumán,80+,Mujer,2697,1242.47,0.46,0.17,0.07,0.42,Muy alta
2013,90,Tucumán,80+,Varón,464,464,1,0.06,0.06,0.99,Muy alta
2013,94,Tierra del Fuego,35-39,Mujer,477,180.42,0.38,0.1,0.04,0.37,Muy alta
2013,94,Tierra del Fuego,35-39,Varón,564,222.49,0.39,0.1,0.04,0.38,Muy alta
2013,94,Tierra del Fuego,40-44,Mujer,801,306.04,0.38,0.15,0.05,0.35,Muy alta
2013,94,Tierra del Fuego,40-44,Varón,187,187,1,0.04,0.04,0.97,Muy alta
2013,94,Tierra del Fuego,45-49,Mujer,559,239.5,0.43,0.13,0.05,0.4,Muy alta
2013,94,Tierra del Fuego,45-49,Varón,358,184.84,0.52,0.08,0.04,0.5,Muy alta
2013,94,Tierra del Fuego,50-54,Mujer,570,252.42,0.44,0.13,0.05,0.41,Muy alta
2013,94,Tierra del Fuego,50-54,Varón,387,186.04,0.48,0.11,0.05,0.47,Muy alta
2013,94,Tierra del Fuego,55-59,Mujer,634,260.63,0.41,0.24,0.08,0.36,Muy alta
2013,94,Tierra del Fuego,55-59,Varón,239,149.17,0.62,0.08,0.05,0.61,Muy alta
2013,94,Tierra del Fuego,60-64,Mujer,353,141.92,0.4,0.2,0.08,0.37,Muy alta
2013,94,Tierra del Fuego,60-64,Varón,852,284.09,0.33,0.29,0.09,0.3,Alta
2013,94,Tierra del Fuego,65-69,Mujer,350,188.72,0.54,0.19,0.09,0.49,Muy alta
2013,94,Tierra del Fuego,65-69,Varón,488,209.14,0.43,0.35,0.11,0.33,Muy alta
2013,94,Tierra del Fuego,70-74,Mujer,157,111.12,0.71,0.2,0.13,0.65,Muy alta
2013,94,Tierra del Fuego,70-74,Varón,112,79.31,0.71,0.22,0.14,0.67,Muy alta
2013,94,Tierra del Fuego,75-79,Mujer,134,80.67,0.6,0.33,0.16,0.49,Muy alta
2013,94,Tierra del Fuego,75-79,Varón,218,130.3,0.6,0.45,0.19,0.42,Muy alta
2013,94,Tierra del Fuego,80+,Mujer,86,50.53,0.59,0.34,0.18,0.54,Muy alta
2013,94,Tierra del Fuego,80+,Varón,23,23,1,0.07,0.08,1.08,Muy alta
2018,2,CABA,35-39,Mujer,5524,2901.29,0.53,0.05,0.03,0.55,Muy alta
2018,2,CABA,35-39,Varón,2581,1856.04,0.72,0.03,0.02,0.74,Muy alta
2018,2,CABA,40-44,Mujer,3926,2310.14,0.59,0.03,0.02,0.58,Muy alta
2018,2,CABA,40-44,Varón,2832,2885.36,1.02,0.03,0.03,1.01,Muy alta
2018,2,CABA,45-49,Mujer,3482,2832.38,0.81,0.03,0.03,0.77,Muy alta
2018,2,CABA,45-49,Varón,4961,2934.73,0.59,0.07,0.04,0.61,Muy alta
2018,2,CABA,50-54,Mujer,9345,4796.18,0.51,0.11,0.06,0.5,Muy alta
2018,2,CABA,50-54,Varón,11984,5045.23,0.42,0.14,0.05,0.39,Muy alta
2018,2,CABA,55-59,Mujer,12346,4941.19,0.4,0.13,0.05,0.39,Muy alta
2018,2,CABA,55-59,Varón,10810,4232.36,0.39,0.15,0.06,0.41,Muy alta
2018,2,CABA,60-64,Mujer,12167,5828.11,0.48,0.19,0.08,0.41,Muy alta
