anio_enfr,anio,prov_id,prov_nombre,grupo_edad_5,grupo_edad_10,sexo,proy_pob
2005,2005,38,Jujuy,20-24 años,20-29 años,Varón,30479
2005,2005,38,Jujuy,25-29 años,20-29 años,Mujer,27556
2005,2005,38,Jujuy,25-29 años,20-29 años,Varón,27383
2005,2005,38,Jujuy,30-34 años,30-39 años,Mujer,22707
2005,2005,38,Jujuy,30-34 años,30-39 años,Varón,22229
2005,2005,38,Jujuy,35-39 años,30-39 años,Mujer,19174
2005,2005,38,Jujuy,35-39 años,30-39 años,Varón,18976
2005,2005,38,Jujuy,40-44 años,40-49 años,Mujer,18029
2005,2005,38,Jujuy,40-44 años,40-49 años,Varón,16910
2005,2005,38,Jujuy,45-49 años,40-49 años,Mujer,16403
2005,2005,38,Jujuy,45-49 años,40-49 años,Varón,14840
2005,2005,38,Jujuy,50-54 años,50-59 años,Mujer,14726
2005,2005,38,Jujuy,50-54 años,50-59 años,Varón,13732
2005,2005,38,Jujuy,55-59 años,50-59 años,Mujer,11940
2005,2005,38,Jujuy,55-59 años,50-59 años,Varón,11175
2005,2005,38,Jujuy,60-64 años,60-69 años,Mujer,9725
2005,2005,38,Jujuy,60-64 años,60-69 años,Varón,8994
2005,2005,38,Jujuy,65-69 años,60-69 años,Mujer,8021
2005,2005,38,Jujuy,65-69 años,60-69 años,Varón,7351
2005,2005,38,Jujuy,70-74 años,70-79 años,Mujer,6342
2005,2005,38,Jujuy,70-74 años,70-79 años,Varón,5345
2005,2005,38,Jujuy,75-79 años,70-79 años,Mujer,4527
2005,2005,38,Jujuy,75-79 años,70-79 años,Varón,3707
2005,2005,38,Jujuy,80+ años,80+ años,Mujer,4110
2005,2005,38,Jujuy,80+ años,80+ años,Varón,2679
2005,2005,42,La Pampa,20-24 años,20-29 años,Mujer,12695
2005,2005,42,La Pampa,20-24 años,20-29 años,Varón,13229
2005,2005,42,La Pampa,25-29 años,20-29 años,Mujer,11627
2005,2005,42,La Pampa,25-29 años,20-29 años,Varón,12489
2005,2005,42,La Pampa,30-34 años,30-39 años,Mujer,10905
2005,2005,42,La Pampa,30-34 años,30-39 años,Varón,11281
2005,2005,42,La Pampa,35-39 años,30-39 años,Mujer,10128
2005,2005,42,La Pampa,35-39 años,30-39 años,Varón,10270
2005,2005,42,La Pampa,40-44 años,40-49 años,Mujer,9942
2005,2005,42,La Pampa,40-44 años,40-49 años,Varón,10196
2005,2005,42,La Pampa,45-49 años,40-49 años,Mujer,8966
2005,2005,42,La Pampa,45-49 años,40-49 años,Varón,9206
2005,2005,42,La Pampa,50-54 años,50-59 años,Mujer,8510
2005,2005,42,La Pampa,50-54 años,50-59 años,Varón,8806
2005,2005,42,La Pampa,55-59 años,50-59 años,Mujer,7505
2005,2005,42,La Pampa,55-59 años,50-59 años,Varón,7486
2005,2005,42,La Pampa,60-64 años,60-69 años,Mujer,6615
2005,2005,42,La Pampa,60-64 años,60-69 años,Varón,6650
2005,2005,42,La Pampa,65-69 años,60-69 años,Mujer,5677
2005,2005,42,La Pampa,65-69 años,60-69 años,Varón,5218
2005,2005,42,La Pampa,70-74 años,70-79 años,Mujer,4774
2005,2005,42,La Pampa,70-74 años,70-79 años,Varón,4047
2005,2005,42,La Pampa,75-79 años,70-79 años,Mujer,3880
2005,2005,42,La Pampa,75-79 años,70-79 años,Varón,2731
2005,2005,42,La Pampa,80+ años,80+ años,Mujer,4440
2005,2005,42,La Pampa,80+ años,80+ años,Varón,2310
2005,2005,46,La Rioja,20-24 años,20-29 años,Mujer,13977
2005,2005,46,La Rioja,20-24 años,20-29 años,Varón,14468
2005,2005,46,La Rioja,25-29 años,20-29 años,Mujer,14598
2005,2005,46,La Rioja,25-29 años,20-29 años,Varón,14945
2005,2005,46,La Rioja,30-34 años,30-39 años,Mujer,11380
2005,2005,46,La Rioja,30-34 años,30-39 años,Varón,11717
2005,2005,46,La Rioja,35-39 años,30-39 años,Mujer,9718
2005,2005,46,La Rioja,35-39 años,30-39 años,Varón,10100
2005,2005,46,La Rioja,40-44 años,40-49 años,Mujer,9128
2005,2005,46,La Rioja,40-44 años,40-49 años,Varón,9376
2005,2005,46,La Rioja,45-49 años,40-49 años,Mujer,8051
2005,2005,46,La Rioja,45-49 años,40-49 años,Varón,8208
2005,2005,46,La Rioja,50-54 años,50-59 años,Mujer,7081
2005,2005,46,La Rioja,50-54 años,50-59 años,Varón,7374
2005,2005,46,La Rioja,55-59 años,50-59 años,Mujer,5749
2005,2005,46,La Rioja,55-59 años,50-59 años,Varón,5853
2005,2005,46,La Rioja,60-64 años,60-69 años,Mujer,4530
