anio,prov_id,prov_nombre,grupo_edad_10,sexo,proy_pob,pob_est_2010
2005,18,Corrientes,80+,Varón,4844,329851
2005,22,Chaco,30-39,Mujer,61165,2948351
2005,22,Chaco,30-39,Varón,60093,2875168
2005,22,Chaco,40-49,Mujer,54918,2333346
2005,22,Chaco,40-49,Varón,54752,2226600
2005,22,Chaco,50-59,Mujer,39620,2043266
2005,22,Chaco,50-59,Varón,41264,1896227
2005,22,Chaco,60-69,Mujer,27401,1572788
2005,22,Chaco,60-69,Varón,24657,1360347
2005,22,Chaco,70-79,Mujer,17748,1067525
2005,22,Chaco,70-79,Varón,13677,769536
2005,22,Chaco,80+,Mujer,5982,671649
2005,22,Chaco,80+,Varón,3833,329851
2005,26,Chubut,30-39,Mujer,30744,2948351
2005,26,Chubut,30-39,Varón,31219,2875168
2005,26,Chubut,40-49,Mujer,26677,2333346
2005,26,Chubut,40-49,Varón,27159,2226600
2005,26,Chubut,50-59,Mujer,20155,2043266
2005,26,Chubut,50-59,Varón,20202,1896227
2005,26,Chubut,60-69,Mujer,13169,1572788
2005,26,Chubut,60-69,Varón,12664,1360347
2005,26,Chubut,70-79,Mujer,8115,1067525
2005,26,Chubut,70-79,Varón,6444,769536
2005,26,Chubut,80+,Mujer,3315,671649
2005,26,Chubut,80+,Varón,1902,329851
2005,30,Entre Ríos,30-39,Mujer,76493,2948351
2005,30,Entre Ríos,30-39,Varón,77937,2875168
2005,30,Entre Ríos,40-49,Mujer,69905,2333346
2005,30,Entre Ríos,40-49,Varón,68178,2226600
2005,30,Entre Ríos,50-59,Mujer,59118,2043266
2005,30,Entre Ríos,50-59,Varón,57221,1896227
2005,30,Entre Ríos,60-69,Mujer,45222,1572788
2005,30,Entre Ríos,60-69,Varón,39595,1360347
2005,30,Entre Ríos,70-79,Mujer,33826,1067525
2005,30,Entre Ríos,70-79,Varón,22355,769536
2005,30,Entre Ríos,80+,Mujer,16969,671649
2005,30,Entre Ríos,80+,Varón,7874,329851
2005,34,Formosa,30-39,Mujer,30973,2948351
2005,34,Formosa,30-39,Varón,29878,2875168
2005,34,Formosa,40-49,Mujer,27213,2333346
2005,34,Formosa,40-49,Varón,27608,2226600
2005,34,Formosa,50-59,Mujer,19295,2043266
2005,34,Formosa,50-59,Varón,20272,1896227
2005,34,Formosa,60-69,Mujer,12300,1572788
2005,34,Formosa,60-69,Varón,12470,1360347
2005,34,Formosa,70-79,Mujer,7425,1067525
2005,34,Formosa,70-79,Varón,6778,769536
2005,34,Formosa,80+,Mujer,2635,671649
2005,34,Formosa,80+,Varón,2076,329851
2005,38,Jujuy,30-39,Mujer,41881,2948351
2005,38,Jujuy,30-39,Varón,41205,2875168
2005,38,Jujuy,40-49,Mujer,34432,2333346
2005,38,Jujuy,40-49,Varón,31750,2226600
2005,38,Jujuy,50-59,Mujer,26666,2043266
2005,38,Jujuy,50-59,Varón,24907,1896227
2005,38,Jujuy,60-69,Mujer,17746,1572788
2005,38,Jujuy,60-69,Varón,16345,1360347
2005,38,Jujuy,70-79,Mujer,10869,1067525
2005,38,Jujuy,70-79,Varón,9052,769536
2005,38,Jujuy,80+,Mujer,4110,671649
2005,38,Jujuy,80+,Varón,2679,329851
2005,42,La Pampa,30-39,Mujer,21033,2948351
2005,42,La Pampa,30-39,Varón,21551,2875168
2005,42,La Pampa,40-49,Mujer,18908,2333346
2005,42,La Pampa,40-49,Varón,19402,2226600
2005,42,La Pampa,50-59,Mujer,16015,2043266
2005,42,La Pampa,50-59,Varón,16292,1896227
2005,42,La Pampa,60-69,Mujer,12292,1572788
2005,42,La Pampa,60-69,Varón,11868,1360347
2005,42,La Pampa,70-79,Mujer,8654,1067525
2005,42,La Pampa,70-79,Varón,6778,769536
2005,42,La Pampa,80+,Mujer,4440,671649
2005,42,La Pampa,80+,Varón,2310,329851
2005,46,La Rioja,30-39,Mujer,21098,2948351
2005,46,La Rioja,30-39,Varón,21817,2875168
2005,46,La Rioja,40-49,Mujer,17179,2333346
2005,46,La Rioja,40-49,Varón,17584,2226600
2005,46,La Rioja,50-59,Mujer,12830,2043266
2005,46,La Rioja,50-59,Varón,13227,1896227
2005,46,La Rioja,60-69,Mujer,8413,1572788
2005,46,La Rioja,60-69,Varón,7850,1360347
2005,46,La Rioja,70-79,Mujer,5405,1067525
2005,46,La Rioja,70-79,Varón,4467,769536
2005,46,La Rioja,80+,Mujer,2210,671649
2005,46,La Rioja,80+,Varón,1437,329851
2005,50,Mendoza,30-39,Mujer,108918,2948351
2005,50,Mendoza,30-39,Varón,105546,2875168
2005,50,Mendoza,40-49,Mujer,94754,2333346
2005,50,Mendoza,40-49,Varón,87288,2226600
2005,50,Mendoza,50-59,Mujer,86087,2043266
2005,50,Mendoza,50-59,Varón,77716,1896227
2005,50,Mendoza,60-69,Mujer,62151,1572788
2005,50,Mendoza,60-69,Varón,53773,1360347
2005,50,Mendoza,70-79,Mujer,45065,1067525
2005,50,Mendoza,70-79,Varón,33722,769536
2005,50,Mendoza,80+,Mujer,20531,671649
2005,50,Mendoza,80+,Varón,11904,329851
2005,54,Misiones,30-39,Mujer,61786,2948351
2005,54,Misiones,30-39,Varón,61430,2875168
2005,54,Misiones,40-49,Mujer,53744,2333346
2005,54,Misiones,40-49,Varón,54941,2226600
2005,54,Misiones,50-59,Mujer,36415,2043266
2005,54,Misiones,50-59,Varón,38632,1896227
2005,54,Misiones,60-69,Mujer,24195,1572788
2005,54,Misiones,60-69,Varón,23847,1360347
2005,54,Misiones,70-79,Mujer,14977,1067525
2005,54,Misiones,70-79,Varón,13377,769536
2005,54,Misiones,80+,Mujer,5568,671649
2005,54,Misiones,80+,Varón,3941,329851
2005,58,Neuquén,30-39,Mujer,38416,2948351
2005,58,Neuquén,30-39,Varón,37854,2875168
2005,58,Neuquén,40-49,Mujer,31759,2333346
2005,58,Neuquén,40-49,Varón,31054,2226600
2005,58,Neuquén,50-59,Mujer,22650,2043266
2005,58,Neuquén,50-59,Varón,22330,1896227
2005,58,Neuquén,60-69,Mujer,13164,1572788
2005,58,Neuquén,60-69,Varón,12696,1360347
2005,58,Neuquén,70-79,Mujer,7885,1067525
2005,58,Neuquén,70-79,Varón,6188,769536
2005,58,Neuquén,80+,Mujer,3410,671649
2005,58,Neuquén,80+,Varón,1899,329851
2005,62,Río Negro,30-39,Mujer,39579,2948351
2005,62,Río Negro,30-39,Varón,38921,2875168
2005,62,Río Negro,40-49,Mujer,35740,2333346
2005,62,Río Negro,40-49,Varón,34668,2226600
2005,62,Río Negro,50-59,Mujer,27633,2043266
2005,62,Río Negro,50-59,Varón,27566,1896227
2005,62,Río Negro,60-69,Mujer,18573,1572788
2005,62,Río Negro,60-69,Varón,18249,1360347
2005,62,Río Negro,70-79,Mujer,11755,1067525
2005,62,Río Negro,70-79,Varón,9911,769536
2005,62,Río Negro,80+,Mujer,4772,671649
2005,62,Río Negro,80+,Varón,3296,329851
2005,66,Salta,30-39,Mujer,73644,2948351
2005,66,Salta,30-39,Varón,72145,2875168
2005,66,Salta,40-49,Mujer,58736,2333346
2005,66,Salta,40-49,Varón,57319,2226600
2005,66,Salta,50-59,Mujer,45513,2043266
2005,66,Salta,50-59,Varón,43711,1896227
2005,66,Salta,60-69,Mujer,29298,1572788
2005,66,Salta,60-69,Varón,27718,1360347
2005,66,Salta,70-79,Mujer,18470,1067525
2005,66,Salta,70-79,Varón,15878,769536
2005,66,Salta,80+,Mujer,7296,671649
2005,66,Salta,80+,Varón,4826,329851
2005,70,San Juan,30-39,Mujer,43847,2948351
2005,70,San Juan,30-39,Varón,43090,2875168
2005,70,San Juan,40-49,Mujer,36735,2333346
2005,70,San Juan,40-49,Varón,33961,2226600
2005,70,San Juan,50-59,Mujer,32501,2043266
2005,70,San Juan,50-59,Varón,29489,1896227
2005,70,San Juan,60-69,Mujer,22557,1572788
2005,70,San Juan,60-69,Varón,19243,1360347
2005,70,San Juan,70-79,Mujer,14949,1067525
2005,70,San Juan,70-79,Varón,11351,769536
2005,70,San Juan,80+,Mujer,6060,671649
2005,70,San Juan,80+,Varón,3745,329851
2005,74,San Luis,30-39,Mujer,26535,2948351
2005,74,San Luis,30-39,Varón,27806,2875168
2005,74,San Luis,40-49,Mujer,22729,2333346
2005,74,San Luis,40-49,Varón,22918,2226600
2005,74,San Luis,50-59,Mujer,18366,2043266
2005,74,San Luis,50-59,Varón,18524,1896227
2005,74,San Luis,60-69,Mujer,13051,1572788
2005,74,San Luis,60-69,Varón,12207,1360347
2005,74,San Luis,70-79,Mujer,8511,1067525
2005,74,San Luis,70-79,Varón,6709,769536
2005,74,San Luis,80+,Mujer,3632,671649
2005,74,San Luis,80+,Varón,2166,329851
2005,78,Santa Cruz,30-39,Mujer,16205,2948351
2005,78,Santa Cruz,30-39,Varón,16524,2875168
2005,78,Santa Cruz,40-49,Mujer,13093,2333346
2005,78,Santa Cruz,40-49,Varón,14146,2226600
2005,78,Santa Cruz,50-59,Mujer,8644,2043266
2005,78,Santa Cruz,50-59,Varón,9428,1896227
2005,78,Santa Cruz,60-69,Mujer,5276,1572788
2005,78,Santa Cruz,60-69,Varón,5480,1360347
2005,78,Santa Cruz,70-79,Mujer,2935,1067525
2005,78,Santa Cruz,70-79,Varón,2656,769536
2005,78,Santa Cruz,80+,Mujer,1024,671649
2005,78,Santa Cruz,80+,Varón,647,329851
2005,82,Santa Fe,30-39,Mujer,200714,2948351
2005,82,Santa Fe,30-39,Varón,202352,2875168
2005,82,Santa Fe,40-49,Mujer,185500,2333346
2005,82,Santa Fe,40-49,Varón,179091,2226600
2005,82,Santa Fe,50-59,Mujer,163505,2043266
2005,82,Santa Fe,50-59,Varón,152568,1896227
2005,82,Santa Fe,60-69,Mujer,131181,1572788
2005,82,Santa Fe,60-69,Varón,111266,1360347
2005,82,Santa Fe,70-79,Mujer,105656,1067525
2005,82,Santa Fe,70-79,Varón,70250,769536
2005,82,Santa Fe,80+,Mujer,55189,671649
2005,82,Santa Fe,80+,Varón,24902,329851
2005,86,Santiago del Estero,30-39,Mujer,50140,2948351
2005,86,Santiago del Estero,30-39,Varón,51946,2875168
2005,86,Santiago del Estero,40-49,Mujer,41183,2333346
2005,86,Santiago del Estero,40-49,Varón,41886,2226600
2005,86,Santiago del Estero,50-59,Mujer,32442,2043266
2005,86,Santiago del Estero,50-59,Varón,34487,1896227
2005,86,Santiago del Estero,60-69,Mujer,23191,1572788
2005,86,Santiago del Estero,60-69,Varón,21929,1360347
2005,86,Santiago del Estero,70-79,Mujer,15440,1067525
2005,86,Santiago del Estero,70-79,Varón,12566,769536
2005,86,Santiago del Estero,80+,Mujer,6247,671649
2005,86,Santiago del Estero,80+,Varón,4137,329851
2005,90,Tucumán,30-39,Mujer,87800,2948351
2005,90,Tucumán,30-39,Varón,87686,2875168
2005,90,Tucumán,40-49,Mujer,77994,2333346
2005,90,Tucumán,40-49,Varón,73981,2226600
2005,90,Tucumán,50-59,Mujer,65473,2043266
2005,90,Tucumán,50-59,Varón,63317,1896227
2005,90,Tucumán,60-69,Mujer,41612,1572788
2005,90,Tucumán,60-69,Varón,36719,1360347
2005,90,Tucumán,70-79,Mujer,30425,1067525
2005,90,Tucumán,70-79,Varón,22281,769536
2005,90,Tucumán,80+,Mujer,12082,671649
2005,90,Tucumán,80+,Varón,6817,329851
2005,94,Tierra del Fuego,30-39,Mujer,9175,2948351
2005,94,Tierra del Fuego,30-39,Varón,9092,2875168
2005,94,Tierra del Fuego,40-49,Mujer,8288,2333346
2005,94,Tierra del Fuego,40-49,Varón,9390,2226600
2005,94,Tierra del Fuego,50-59,Mujer,4238,2043266
2005,94,Tierra del Fuego,50-59,Varón,4843,1896227
2005,94,Tierra del Fuego,60-69,Mujer,2002,1572788
2005,94,Tierra del Fuego,60-69,Varón,1979,1360347
2005,94,Tierra del Fuego,70-79,Mujer,986,1067525
2005,94,Tierra del Fuego,70-79,Varón,805,769536
2005,94,Tierra del Fuego,80+,Mujer,286,671649
2005,94,Tierra del Fuego,80+,Varón,194,329851
2009,2,CABA,30-39,Mujer,229260,2948351
2009,2,CABA,30-39,Varón,214424,2875168
2009,2,CABA,40-49,Mujer,186155,2333346
2009,2,CABA,40-49,Varón,163647,2226600
2009,2,CABA,50-59,Mujer,181208,2043266
2009,2,CABA,50-59,Varón,145928,1896227
2009,2,CABA,60-69,Mujer,157838,1572788
2009,2,CABA,60-69,Varón,114965,1360347
2009,2,CABA,70-79,Mujer,122690,1067525
2009,2,CABA,70-79,Varón,75769,769536
2009,2,CABA,80+,Mujer,99770,671649
2009,2,CABA,80+,Varón,41551,329851
2009,6,Buenos Aires,30-39,Mujer,1099432,2948351
2009,6,Buenos Aires,30-39,Varón,1073231,2875168
2009,6,Buenos Aires,40-49,Mujer,910964,2333346
2009,6,Buenos Aires,40-49,Varón,870146,2226600
2009,6,Buenos Aires,50-59,Mujer,791570,2043266
2009,6,Buenos Aires,50-59,Varón,731456,1896227
2009,6,Buenos Aires,60-69,Mujer,614666,1572788
2009,6,Buenos Aires,60-69,Varón,526511,1360347
2009,6,Buenos Aires,70-79,Mujer,433594,1067525
2009,6,Buenos Aires,70-79,Varón,308583,769536
2009,6,Buenos Aires,80+,Mujer,255787,671649
2009,6,Buenos Aires,80+,Varón,122582,329851
2009,10,Catamarca,30-39,Mujer,25460,2948351
2009,10,Catamarca,30-39,Varón,25337,2875168
2009,10,Catamarca,40-49,Mujer,19394,2333346
2009,10,Catamarca,40-49,Varón,19545,2226600
2009,10,Catamarca,50-59,Mujer,15765,2043266
2009,10,Catamarca,50-59,Varón,15796,1896227
2009,10,Catamarca,60-69,Mujer,11037,1572788
2009,10,Catamarca,60-69,Varón,10179,1360347
2009,10,Catamarca,70-79,Mujer,7225,1067525
2009,10,Catamarca,70-79,Varón,5529,769536
2009,10,Catamarca,80+,Mujer,4066,671649
2009,10,Catamarca,80+,Varón,2317,329851
2009,14,Córdoba,30-39,Mujer,232230,2948351
2009,14,Córdoba,30-39,Varón,227635,2875168
2009,14,Córdoba,40-49,Mujer,192142,2333346
2009,14,Córdoba,40-49,Varón,182601,2226600
2009,14,Córdoba,50-59,Mujer,170951,2043266
2009,14,Córdoba,50-59,Varón,157009,1896227
2009,14,Córdoba,60-69,Mujer,138333,1572788
2009,14,Córdoba,60-69,Varón,117514,1360347
2009,14,Córdoba,70-79,Mujer,97088,1067525
2009,14,Córdoba,70-79,Varón,69247,769536
2009,14,Córdoba,80+,Mujer,56948,671649
2009,14,Córdoba,80+,Varón,27220,329851
2009,18,Corrientes,30-39,Mujer,66226,2948351
2009,18,Corrientes,30-39,Varón,62048,2875168
2009,18,Corrientes,40-49,Mujer,54717,2333346
2009,18,Corrientes,40-49,Varón,52248,2226600
2009,18,Corrientes,50-59,Mujer,44240,2043266
2009,18,Corrientes,50-59,Varón,43336,1896227
2009,18,Corrientes,60-69,Mujer,30673,1572788
2009,18,Corrientes,60-69,Varón,28119,1360347
2009,18,Corrientes,70-79,Mujer,19781,1067525
2009,18,Corrientes,70-79,Varón,14950,769536
2009,18,Corrientes,80+,Mujer,10294,671649
2009,18,Corrientes,80+,Varón,5899,329851
2009,22,Chaco,30-39,Mujer,69965,2948351
2009,22,Chaco,30-39,Varón,66675,2875168
2009,22,Chaco,40-49,Mujer,55929,2333346
2009,22,Chaco,40-49,Varón,54125,2226600
2009,22,Chaco,50-59,Mujer,43913,2043266
2009,22,Chaco,50-59,Varón,43937,1896227
2009,22,Chaco,60-69,Mujer,29242,1572788
2009,22,Chaco,60-69,Varón,27179,1360347
2009,22,Chaco,70-79,Mujer,18548,1067525
2009,22,Chaco,70-79,Varón,14449,769536
2009,22,Chaco,80+,Mujer,8754,671649
2009,22,Chaco,80+,Varón,5123,329851
2009,26,Chubut,30-39,Mujer,36798,2948351
2009,26,Chubut,30-39,Varón,36880,2875168
2009,26,Chubut,40-49,Mujer,28616,2333346
2009,26,Chubut,40-49,Varón,28693,2226600
2009,26,Chubut,50-59,Mujer,22131,2043266
2009,26,Chubut,50-59,Varón,22160,1896227
2009,26,Chubut,60-69,Mujer,14612,1572788
2009,26,Chubut,60-69,Varón,13825,1360347
2009,26,Chubut,70-79,Mujer,8854,1067525
2009,26,Chubut,70-79,Varón,7046,769536
2009,26,Chubut,80+,Mujer,4471,671649
2009,26,Chubut,80+,Varón,2543,329851
2009,30,Entre Ríos,30-39,Mujer,84489,2948351
2009,30,Entre Ríos,30-39,Varón,82837,2875168
2009,30,Entre Ríos,40-49,Mujer,70563,2333346
2009,30,Entre Ríos,40-49,Varón,68348,2226600
2009,30,Entre Ríos,50-59,Mujer,61258,2043266
2009,30,Entre Ríos,50-59,Varón,58256,1896227
2009,30,Entre Ríos,60-69,Mujer,47460,1572788
2009,30,Entre Ríos,60-69,Varón,41553,1360347
2009,30,Entre Ríos,70-79,Mujer,33513,1067525
2009,30,Entre Ríos,70-79,Varón,23145,769536
2009,30,Entre Ríos,80+,Mujer,19528,671649
2009,30,Entre Ríos,80+,Varón,8857,329851
2009,34,Formosa,30-39,Mujer,34814,2948351
2009,34,Formosa,30-39,Varón,32722,2875168
2009,34,Formosa,40-49,Mujer,28409,2333346
2009,34,Formosa,40-49,Varón,28073,2226600
2009,34,Formosa,50-59,Mujer,21826,2043266
2009,34,Formosa,50-59,Varón,22103,1896227
2009,34,Formosa,60-69,Mujer,14107,1572788
2009,34,Formosa,60-69,Varón,13976,1360347
2009,34,Formosa,70-79,Mujer,8458,1067525
2009,34,Formosa,70-79,Varón,7770,769536
2009,34,Formosa,80+,Mujer,3891,671649
2009,34,Formosa,80+,Varón,2916,329851
2009,38,Jujuy,30-39,Mujer,47387,2948351
2009,38,Jujuy,30-39,Varón,45188,2875168
2009,38,Jujuy,40-49,Mujer,35864,2333346
2009,38,Jujuy,40-49,Varón,33193,2226600
2009,38,Jujuy,50-59,Mujer,28745,2043266
2009,38,Jujuy,50-59,Varón,26389,1896227
2009,38,Jujuy,60-69,Mujer,19549,1572788
2009,38,Jujuy,60-69,Varón,17715,1360347
2009,38,Jujuy,70-79,Mujer,11442,1067525
2009,38,Jujuy,70-79,Varón,9688,769536
2009,38,Jujuy,80+,Mujer,5212,671649
2009,38,Jujuy,80+,Varón,3266,329851
2009,42,La Pampa,30-39,Mujer,22155,2948351
2009,42,La Pampa,30-39,Varón,21993,2875168
2009,42,La Pampa,40-49,Mujer,19038,2333346
2009,42,La Pampa,40-49,Varón,19000,2226600
2009,42,La Pampa,50-59,Mujer,16212,2043266
2009,42,La Pampa,50-59,Varón,16404,1896227
2009,42,La Pampa,60-69,Mujer,12724,1572788
2009,42,La Pampa,60-69,Varón,12188,1360347
2009,42,La Pampa,70-79,Mujer,8780,1067525
2009,42,La Pampa,70-79,Varón,6995,769536
2009,42,La Pampa,80+,Mujer,5280,671649
2009,42,La Pampa,80+,Varón,2836,329851
2009,46,La Rioja,30-39,Mujer,23518,2948351
2009,46,La Rioja,30-39,Varón,23180,2875168
2009,46,La Rioja,40-49,Mujer,17730,2333346
2009,46,La Rioja,40-49,Varón,17826,2226600
2009,46,La Rioja,50-59,Mujer,13775,2043266
2009,46,La Rioja,50-59,Varón,14008,1896227
2009,46,La Rioja,60-69,Mujer,9266,1572788
2009,46,La Rioja,60-69,Varón,8787,1360347
2009,46,La Rioja,70-79,Mujer,5832,1067525
2009,46,La Rioja,70-79,Varón,4638,769536
2009,46,La Rioja,80+,Mujer,3088,671649
2009,46,La Rioja,80+,Varón,1840,329851
2009,50,Mendoza,30-39,Mujer,119956,2948351
2009,50,Mendoza,30-39,Varón,114689,2875168
2009,50,Mendoza,40-49,Mujer,97479,2333346
2009,50,Mendoza,40-49,Varón,90725,2226600
2009,50,Mendoza,50-59,Mujer,87390,2043266
2009,50,Mendoza,50-59,Varón,79125,1896227
2009,50,Mendoza,60-69,Mujer,67736,1572788
2009,50,Mendoza,60-69,Varón,58312,1360347
2009,50,Mendoza,70-79,Mujer,45180,1067525
2009,50,Mendoza,70-79,Varón,34065,769536
2009,50,Mendoza,80+,Mujer,24629,671649
2009,50,Mendoza,80+,Varón,13636,329851
2009,54,Misiones,30-39,Mujer,70295,2948351
2009,54,Misiones,30-39,Varón,67880,2875168
2009,54,Misiones,40-49,Mujer,55905,2333346
2009,54,Misiones,40-49,Varón,55678,2226600
2009,54,Misiones,50-59,Mujer,41442,2043266
2009,54,Misiones,50-59,Varón,42733,1896227
2009,54,Misiones,60-69,Mujer,26760,1572788
2009,54,Misiones,60-69,Varón,26532,1360347
2009,54,Misiones,70-79,Mujer,16018,1067525
2009,54,Misiones,70-79,Varón,14152,769536
2009,54,Misiones,80+,Mujer,7267,671649
2009,54,Misiones,80+,Varón,4996,329851
2009,58,Neuquén,30-39,Mujer,42661,2948351
2009,58,Neuquén,30-39,Varón,41321,2875168
2009,58,Neuquén,40-49,Mujer,33317,2333346
2009,58,Neuquén,40-49,Varón,32198,2226600
2009,58,Neuquén,50-59,Mujer,24349,2043266
2009,58,Neuquén,50-59,Varón,24079,1896227
2009,58,Neuquén,60-69,Mujer,14816,1572788
2009,58,Neuquén,60-69,Varón,14243,1360347
2009,58,Neuquén,70-79,Mujer,8305,1067525
2009,58,Neuquén,70-79,Varón,6756,769536
2009,58,Neuquén,80+,Mujer,4126,671649
2009,58,Neuquén,80+,Varón,2334,329851
2009,62,Río Negro,30-39,Mujer,45906,2948351
2009,62,Río Negro,30-39,Varón,44357,2875168
2009,62,Río Negro,40-49,Mujer,37590,2333346
2009,62,Río Negro,40-49,Varón,36498,2226600
2009,62,Río Negro,50-59,Mujer,29894,2043266
2009,62,Río Negro,50-59,Varón,29491,1896227
2009,62,Río Negro,60-69,Mujer,20560,1572788
2009,62,Río Negro,60-69,Varón,19736,1360347
2009,62,Río Negro,70-79,Mujer,12448,1067525
2009,62,Río Negro,70-79,Varón,10490,769536
2009,62,Río Negro,80+,Mujer,6548,671649
2009,62,Río Negro,80+,Varón,3889,329851
2009,66,Salta,30-39,Mujer,81980,2948351
2009,66,Salta,30-39,Varón,77664,2875168
2009,66,Salta,40-49,Mujer,61978,2333346
2009,66,Salta,40-49,Varón,59527,2226600
2009,66,Salta,50-59,Mujer,48558,2043266
2009,66,Salta,50-59,Varón,46076,1896227
2009,66,Salta,60-69,Mujer,33093,1572788
2009,66,Salta,60-69,Varón,30521,1360347
2009,66,Salta,70-79,Mujer,20080,1067525
2009,66,Salta,70-79,Varón,17035,769536
2009,66,Salta,80+,Mujer,9820,671649
2009,66,Salta,80+,Varón,6245,329851
2009,70,San Juan,30-39,Mujer,46705,2948351
2009,70,San Juan,30-39,Varón,45318,2875168
2009,70,San Juan,40-49,Mujer,37396,2333346
2009,70,San Juan,40-49,Varón,34858,2226600
2009,70,San Juan,50-59,Mujer,32800,2043266
2009,70,San Juan,50-59,Varón,29418,1896227
2009,70,San Juan,60-69,Mujer,24523,1572788
2009,70,San Juan,60-69,Varón,20924,1360347
2009,70,San Juan,70-79,Mujer,15068,1067525
2009,70,San Juan,70-79,Varón,11360,769536
2009,70,San Juan,80+,Mujer,7218,671649
2009,70,San Juan,80+,Varón,4141,329851
2009,74,San Luis,30-39,Mujer,30028,2948351
2009,74,San Luis,30-39,Varón,29986,2875168
2009,74,San Luis,40-49,Mujer,23976,2333346
2009,74,San Luis,40-49,Varón,24080,2226600
2009,74,San Luis,50-59,Mujer,19880,2043266
2009,74,San Luis,50-59,Varón,19585,1896227
2009,74,San Luis,60-69,Mujer,14484,1572788
2009,74,San Luis,60-69,Varón,13491,1360347
2009,74,San Luis,70-79,Mujer,9067,1067525
2009,74,San Luis,70-79,Varón,7146,769536
2009,74,San Luis,80+,Mujer,4882,671649
2009,74,San Luis,80+,Varón,2615,329851
2009,78,Santa Cruz,30-39,Mujer,19689,2948351
2009,78,Santa Cruz,30-39,Varón,20833,2875168
2009,78,Santa Cruz,40-49,Mujer,14419,2333346
2009,78,Santa Cruz,40-49,Varón,15748,2226600
2009,78,Santa Cruz,50-59,Mujer,9901,2043266
2009,78,Santa Cruz,50-59,Varón,10993,1896227
2009,78,Santa Cruz,60-69,Mujer,6027,1572788
2009,78,Santa Cruz,60-69,Varón,6087,1360347
2009,78,Santa Cruz,70-79,Mujer,3189,1067525
2009,78,Santa Cruz,70-79,Varón,2863,769536
2009,78,Santa Cruz,80+,Mujer,1330,671649
2009,78,Santa Cruz,80+,Varón,853,329851
2009,82,Santa Fe,30-39,Mujer,223777,2948351
2009,82,Santa Fe,30-39,Varón,218709,2875168
2009,82,Santa Fe,40-49,Mujer,185354,2333346
2009,82,Santa Fe,40-49,Varón,177974,2226600
2009,82,Santa Fe,50-59,Mujer,166736,2043266
