anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,30,Entre Ríos,Femenino,80 y más,61
2005,34,Formosa,Masculino,10 a 14,0
2005,34,Formosa,Masculino,15 a 19,0
2005,34,Formosa,Masculino,20 a 24,0
2005,34,Formosa,Masculino,25 a 29,0
2005,34,Formosa,Masculino,30 a 34,1
2005,34,Formosa,Masculino,35 a 39,0
2005,34,Formosa,Masculino,40 a 44,0
2005,34,Formosa,Masculino,45 a 49,1
2005,34,Formosa,Masculino,50 a 54,5
2005,34,Formosa,Masculino,55 a 59,10
2005,34,Formosa,Masculino,60 a 64,9
2005,34,Formosa,Masculino,65 a 69,8
2005,34,Formosa,Masculino,70 a 74,12
2005,34,Formosa,Masculino,75 a 79,11
2005,34,Formosa,Masculino,80 y más,9
2005,34,Formosa,Femenino,10 a 14,0
2005,34,Formosa,Femenino,15 a 19,0
2005,34,Formosa,Femenino,20 a 24,0
2005,34,Formosa,Femenino,25 a 29,0
2005,34,Formosa,Femenino,30 a 34,0
2005,34,Formosa,Femenino,35 a 39,1
2005,34,Formosa,Femenino,40 a 44,3
2005,34,Formosa,Femenino,45 a 49,3
2005,34,Formosa,Femenino,50 a 54,7
2005,34,Formosa,Femenino,55 a 59,9
2005,34,Formosa,Femenino,60 a 64,12
2005,34,Formosa,Femenino,65 a 69,7
2005,34,Formosa,Femenino,70 a 74,17
2005,34,Formosa,Femenino,75 a 79,12
2005,34,Formosa,Femenino,80 y más,15
2005,38,Jujuy,Masculino,10 a 14,0
2005,38,Jujuy,Masculino,15 a 19,0
2005,38,Jujuy,Masculino,20 a 24,0
2005,38,Jujuy,Masculino,25 a 29,0
2005,38,Jujuy,Masculino,30 a 34,0
2005,38,Jujuy,Masculino,35 a 39,0
2005,38,Jujuy,Masculino,40 a 44,2
2005,38,Jujuy,Masculino,45 a 49,1
2005,38,Jujuy,Masculino,50 a 54,6
2005,38,Jujuy,Masculino,55 a 59,1
2005,38,Jujuy,Masculino,60 a 64,6
2005,38,Jujuy,Masculino,65 a 69,11
2005,38,Jujuy,Masculino,70 a 74,3
2005,38,Jujuy,Masculino,75 a 79,5
2005,38,Jujuy,Masculino,80 y más,9
2005,38,Jujuy,Femenino,10 a 14,0
2005,38,Jujuy,Femenino,15 a 19,0
2005,38,Jujuy,Femenino,20 a 24,0
2005,38,Jujuy,Femenino,25 a 29,0
2005,38,Jujuy,Femenino,30 a 34,0
2005,38,Jujuy,Femenino,35 a 39,0
2005,38,Jujuy,Femenino,40 a 44,0
2005,38,Jujuy,Femenino,45 a 49,1
2005,38,Jujuy,Femenino,50 a 54,0
2005,38,Jujuy,Femenino,55 a 59,5
2005,38,Jujuy,Femenino,60 a 64,6
2005,38,Jujuy,Femenino,65 a 69,4
2005,38,Jujuy,Femenino,70 a 74,8
2005,38,Jujuy,Femenino,75 a 79,9
2005,38,Jujuy,Femenino,80 y más,12
2005,42,La Pampa,Masculino,10 a 14,0
2005,42,La Pampa,Masculino,15 a 19,0
2005,42,La Pampa,Masculino,20 a 24,0
2005,42,La Pampa,Masculino,25 a 29,0
2005,42,La Pampa,Masculino,30 a 34,0
2005,42,La Pampa,Masculino,35 a 39,0
2005,42,La Pampa,Masculino,40 a 44,0
2005,42,La Pampa,Masculino,45 a 49,0
2005,42,La Pampa,Masculino,50 a 54,2
2005,42,La Pampa,Masculino,55 a 59,2
2005,42,La Pampa,Masculino,60 a 64,3
2005,42,La Pampa,Masculino,65 a 69,2
2005,42,La Pampa,Masculino,70 a 74,6
2005,42,La Pampa,Masculino,75 a 79,9
2005,42,La Pampa,Masculino,80 y más,6
2005,42,La Pampa,Femenino,10 a 14,0
2005,42,La Pampa,Femenino,15 a 19,0
2005,42,La Pampa,Femenino,20 a 24,0
2005,42,La Pampa,Femenino,25 a 29,0
2005,42,La Pampa,Femenino,30 a 34,0
2005,42,La Pampa,Femenino,35 a 39,0
2005,42,La Pampa,Femenino,40 a 44,0
2005,42,La Pampa,Femenino,45 a 49,0
2005,42,La Pampa,Femenino,50 a 54,0
2005,42,La Pampa,Femenino,55 a 59,0
2005,42,La Pampa,Femenino,60 a 64,2
2005,42,La Pampa,Femenino,65 a 69,2
2005,42,La Pampa,Femenino,70 a 74,1
2005,42,La Pampa,Femenino,75 a 79,2
2005,42,La Pampa,Femenino,80 y más,16
2005,46,La Rioja,Masculino,10 a 14,0
2005,46,La Rioja,Masculino,15 a 19,0
2005,46,La Rioja,Masculino,20 a 24,0
2005,46,La Rioja,Masculino,25 a 29,0
2005,46,La Rioja,Masculino,30 a 34,0
2005,46,La Rioja,Masculino,35 a 39,1
2005,46,La Rioja,Masculino,40 a 44,0
2005,46,La Rioja,Masculino,45 a 49,0
2005,46,La Rioja,Masculino,50 a 54,4
2005,46,La Rioja,Masculino,55 a 59,4
2005,46,La Rioja,Masculino,60 a 64,3
2005,46,La Rioja,Masculino,65 a 69,2
2005,46,La Rioja,Masculino,70 a 74,6
2005,46,La Rioja,Masculino,75 a 79,0
2005,46,La Rioja,Masculino,80 y más,5
2005,46,La Rioja,Femenino,10 a 14,0
2005,46,La Rioja,Femenino,15 a 19,0
2005,46,La Rioja,Femenino,20 a 24,0
2005,46,La Rioja,Femenino,25 a 29,0
2005,46,La Rioja,Femenino,30 a 34,0
