anio_enfr,prov_id,prov_nombre,grupo_edad,sexo,dm_total,dm_total_cv,dm_prev,dm_prev_cv
2005,54,Misiones,25 a 29,Mujer,812,0.69,0.04,0.67
2005,54,Misiones,25 a 29,Varón,833,0.6,0.04,0.59
2005,54,Misiones,30 a 34,Mujer,1659,0.35,0.06,0.35
2005,54,Misiones,30 a 34,Varón,711,0.53,0.04,0.53
2005,54,Misiones,35 a 39,Mujer,2148,0.44,0.09,0.42
2005,54,Misiones,35 a 39,Varón,374,0.86,0.02,0.85
2005,54,Misiones,40 a 44,Mujer,1157,0.65,0.05,0.63
2005,54,Misiones,40 a 44,Varón,745,0.58,0.05,0.57
2005,54,Misiones,45 a 49,Mujer,946,0.47,0.08,0.46
2005,54,Misiones,45 a 49,Varón,1664,0.49,0.08,0.47
2005,54,Misiones,50 a 54,Mujer,1927,0.57,0.13,0.52
2005,54,Misiones,50 a 54,Varón,1742,0.41,0.12,0.39
2005,54,Misiones,55 a 59,Mujer,2085,0.42,0.16,0.4
2005,54,Misiones,55 a 59,Varón,1317,0.46,0.09,0.45
2005,54,Misiones,60 a 64,Mujer,3544,0.38,0.25,0.31
2005,54,Misiones,60 a 64,Varón,1628,0.36,0.2,0.34
2005,54,Misiones,65 a 69,Mujer,1582,0.4,0.25,0.34
2005,54,Misiones,65 a 69,Varón,936,0.53,0.18,0.48
2005,54,Misiones,70 a 74,Mujer,484,0.8,0.07,0.77
2005,54,Misiones,70 a 74,Varón,705,0.73,0.1,0.69
2005,54,Misiones,75 a 79,Mujer,579,0.54,0.14,0.52
2005,54,Misiones,75 a 79,Varón,1362,0.45,0.2,0.42
2005,54,Misiones,80+,Mujer,386,0.64,0.13,0.62
2005,54,Misiones,80+,Varón,720,0.49,0.17,0.5
2005,58,Neuquén,20 a 24,Mujer,239,0.73,0.01,0.73
2005,58,Neuquén,20 a 24,Varón,482,0.82,0.03,0.8
2005,58,Neuquén,25 a 29,Mujer,1669,0.38,0.11,0.35
2005,58,Neuquén,25 a 29,Varón,989,0.56,0.08,0.53
2005,58,Neuquén,30 a 34,Mujer,1127,0.39,0.06,0.38
2005,58,Neuquén,30 a 34,Varón,1564,0.43,0.11,0.4
2005,58,Neuquén,35 a 39,Mujer,2820,0.29,0.15,0.26
2005,58,Neuquén,35 a 39,Varón,521,0.6,0.03,0.6
2005,58,Neuquén,40 a 44,Mujer,1035,0.49,0.07,0.47
2005,58,Neuquén,40 a 44,Varón,663,0.61,0.06,0.59
2005,58,Neuquén,45 a 49,Mujer,765,0.44,0.07,0.42
2005,58,Neuquén,45 a 49,Varón,141,1,0.01,1
2005,58,Neuquén,50 a 54,Mujer,1979,0.36,0.17,0.32
2005,58,Neuquén,50 a 54,Varón,2447,0.37,0.18,0.33
2005,58,Neuquén,55 a 59,Mujer,319,0.61,0.05,0.6
2005,58,Neuquén,55 a 59,Varón,922,0.39,0.11,0.39
2005,58,Neuquén,60 a 64,Mujer,776,0.47,0.17,0.43
2005,58,Neuquén,60 a 64,Varón,1439,0.39,0.22,0.34
2005,58,Neuquén,65 a 69,Mujer,681,0.5,0.24,0.42
2005,58,Neuquén,65 a 69,Varón,560,0.52,0.2,0.46
2005,58,Neuquén,70 a 74,Mujer,884,0.39,0.21,0.37
2005,58,Neuquén,70 a 74,Varón,631,0.47,0.18,0.47
2005,58,Neuquén,75 a 79,Mujer,629,0.55,0.14,0.55
2005,58,Neuquén,75 a 79,Varón,466,0.56,0.17,0.53
2005,58,Neuquén,80+,Mujer,639,0.42,0.22,0.4
2005,58,Neuquén,80+,Varón,0,NA,0,NA
2005,62,Río Negro,20 a 24,Mujer,513,0.58,0.04,0.57
2005,62,Río Negro,20 a 24,Varón,498,0.6,0.02,0.6
