anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2018,26,Chubut,40 a 49,Varón,9,1.5,94807.19,3198267.55,33.72,50.58
2018,26,Chubut,50 a 59,Mujer,6,1,94611.04,2803255.32,29.61,29.61
2018,26,Chubut,50 a 59,Varón,25,4.17,91004.18,2267126.11,24.88,103.66
2018,26,Chubut,60 a 69,Mujer,20,3.33,89138.12,1881505.15,21.06,70.21
2018,26,Chubut,60 a 69,Varón,42,7,81649.99,1398833.14,17.06,119.4
2018,26,Chubut,70 a 79,Mujer,43,7.17,77039.5,1045016.18,13.47,96.52
2018,26,Chubut,70 a 79,Varón,43,7.17,62091.13,672544.48,10.69,76.59
2018,26,Chubut,80+,Mujer,54,18,61218.22,517455,8.45,152.15
2018,26,Chubut,80+,Varón,46,15.33,40745.57,276362.57,6.78,104
2018,30,Entre Ríos,20 a 29,Mujer,3,0.5,98676.96,5721835.44,57.98,28.99
2018,30,Entre Ríos,20 a 29,Varón,1,0.17,97988.53,5129326.1,52.34,8.72
2018,30,Entre Ríos,30 a 39,Mujer,2,0.33,98073.65,4737959.6,48.31,16.1
2018,30,Entre Ríos,30 a 39,Varón,1,0.17,96648.18,4156118.88,42.99,7.17
2018,30,Entre Ríos,40 a 49,Mujer,17,2.83,96966.42,3762283.1,38.79,109.91
2018,30,Entre Ríos,40 a 49,Varón,15,2.5,94807.19,3198267.55,33.72,84.3
2018,30,Entre Ríos,50 a 59,Mujer,34,5.67,94611.04,2803255.32,29.61,167.79
2018,30,Entre Ríos,50 a 59,Varón,37,6.17,91004.18,2267126.11,24.88,153.42
2018,30,Entre Ríos,60 a 69,Mujer,91,15.17,89138.12,1881505.15,21.06,319.44
2018,30,Entre Ríos,60 a 69,Varón,165,27.5,81649.99,1398833.14,17.06,469.07
2018,30,Entre Ríos,70 a 79,Mujer,126,21,77039.5,1045016.18,13.47,282.82
2018,30,Entre Ríos,70 a 79,Varón,173,28.83,62091.13,672544.48,10.69,308.15
2018,30,Entre Ríos,80+,Mujer,164,54.67,61218.22,517455,8.45,462.08
2018,30,Entre Ríos,80+,Varón,96,32,40745.57,276362.57,6.78,217.04
2018,34,Formosa,20 a 29,Mujer,6,1,98676.96,5721835.44,57.98,57.98
2018,34,Formosa,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2018,34,Formosa,30 a 39,Mujer,4,0.67,98073.65,4737959.6,48.31,32.2
2018,34,Formosa,30 a 39,Varón,11,1.83,96648.18,4156118.88,42.99,78.82
2018,34,Formosa,40 a 49,Mujer,19,3.17,96966.42,3762283.1,38.79,122.84
2018,34,Formosa,40 a 49,Varón,31,5.17,94807.19,3198267.55,33.72,174.22
2018,34,Formosa,50 a 59,Mujer,42,7,94611.04,2803255.32,29.61,207.27
2018,34,Formosa,50 a 59,Varón,69,11.5,91004.18,2267126.11,24.88,286.11
2018,34,Formosa,60 a 69,Mujer,109,18.17,89138.12,1881505.15,21.06,382.62
2018,34,Formosa,60 a 69,Varón,131,21.83,81649.99,1398833.14,17.06,372.42
2018,34,Formosa,70 a 79,Mujer,107,17.83,77039.5,1045016.18,13.47,240.17
2018,34,Formosa,70 a 79,Varón,116,19.33,62091.13,672544.48,10.69,206.62
2018,34,Formosa,80+,Mujer,90,30,61218.22,517455,8.45,253.58
2018,34,Formosa,80+,Varón,60,20,40745.57,276362.57,6.78,135.65
2018,38,Jujuy,20 a 29,Mujer,1,0.17,98676.96,5721835.44,57.98,9.66
2018,38,Jujuy,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2018,38,Jujuy,30 a 39,Mujer,1,0.17,98073.65,4737959.6,48.31,8.05
2018,38,Jujuy,30 a 39,Varón,3,0.5,96648.18,4156118.88,42.99,21.5
2018,38,Jujuy,40 a 49,Mujer,2,0.33,96966.42,3762283.1,38.79,12.93
2018,38,Jujuy,40 a 49,Varón,10,1.67,94807.19,3198267.55,33.72,56.2
2018,38,Jujuy,50 a 59,Mujer,14,2.33,94611.04,2803255.32,29.61,69.09
2018,38,Jujuy,50 a 59,Varón,31,5.17,91004.18,2267126.11,24.88,128.54
2018,38,Jujuy,60 a 69,Mujer,36,6,89138.12,1881505.15,21.06,126.37
2018,38,Jujuy,60 a 69,Varón,50,8.33,81649.99,1398833.14,17.06,142.14
2018,38,Jujuy,70 a 79,Mujer,52,8.67,77039.5,1045016.18,13.47,116.72
2018,38,Jujuy,70 a 79,Varón,46,7.67,62091.13,672544.48,10.69,81.93
2018,38,Jujuy,80+,Mujer,48,16,61218.22,517455,8.45,135.24
2018,38,Jujuy,80+,Varón,27,9,40745.57,276362.57,6.78,61.04
2018,42,La Pampa,20 a 29,Mujer,0,0,98676.96,5721835.44,57.98,0
2018,42,La Pampa,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2018,42,La Pampa,30 a 39,Mujer,0,0,98073.65,4737959.6,48.31,0
2018,42,La Pampa,30 a 39,Varón,2,0.33,96648.18,4156118.88,42.99,14.33
2018,42,La Pampa,40 a 49,Mujer,4,0.67,96966.42,3762283.1,38.79,25.86
2018,42,La Pampa,40 a 49,Varón,2,0.33,94807.19,3198267.55,33.72,11.24
2018,42,La Pampa,50 a 59,Mujer,4,0.67,94611.04,2803255.32,29.61,19.74
2018,42,La Pampa,50 a 59,Varón,9,1.5,91004.18,2267126.11,24.88,37.32
2018,42,La Pampa,60 a 69,Mujer,12,2,89138.12,1881505.15,21.06,42.12
2018,42,La Pampa,60 a 69,Varón,19,3.17,81649.99,1398833.14,17.06,54.01
2018,42,La Pampa,70 a 79,Mujer,27,4.5,77039.5,1045016.18,13.47,60.6
2018,42,La Pampa,70 a 79,Varón,35,5.83,62091.13,672544.48,10.69,62.34
2018,42,La Pampa,80+,Mujer,40,13.33,61218.22,517455,8.45,112.7
2018,42,La Pampa,80+,Varón,32,10.67,40745.57,276362.57,6.78,72.35
2018,46,La Rioja,20 a 29,Mujer,1,0.17,98676.96,5721835.44,57.98,9.66
2018,46,La Rioja,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2018,46,La Rioja,30 a 39,Mujer,3,0.5,98073.65,4737959.6,48.31,24.15
2018,46,La Rioja,30 a 39,Varón,2,0.33,96648.18,4156118.88,42.99,14.33
2018,46,La Rioja,40 a 49,Mujer,4,0.67,96966.42,3762283.1,38.79,25.86
2018,46,La Rioja,40 a 49,Varón,12,2,94807.19,3198267.55,33.72,67.44
2018,46,La Rioja,50 a 59,Mujer,21,3.5,94611.04,2803255.32,29.61,103.63
2018,46,La Rioja,50 a 59,Varón,40,6.67,91004.18,2267126.11,24.88,165.86
2018,46,La Rioja,60 a 69,Mujer,25,4.17,89138.12,1881505.15,21.06,87.76
2018,46,La Rioja,60 a 69,Varón,63,10.5,81649.99,1398833.14,17.06,179.1
2018,46,La Rioja,70 a 79,Mujer,44,7.33,77039.5,1045016.18,13.47,98.76
2018,46,La Rioja,70 a 79,Varón,55,9.17,62091.13,672544.48,10.69,97.97
2018,46,La Rioja,80+,Mujer,50,16.67,61218.22,517455,8.45,140.88
2018,46,La Rioja,80+,Varón,32,10.67,40745.57,276362.57,6.78,72.35
2018,50,Mendoza,20 a 29,Mujer,5,0.83,98676.96,5721835.44,57.98,48.32
2018,50,Mendoza,20 a 29,Varón,2,0.33,97988.53,5129326.1,52.34,17.45
2018,50,Mendoza,30 a 39,Mujer,6,1,98073.65,4737959.6,48.31,48.31
2018,50,Mendoza,30 a 39,Varón,10,1.67,96648.18,4156118.88,42.99,71.66
2018,50,Mendoza,40 a 49,Mujer,13,2.17,96966.42,3762283.1,38.79,84.05
2018,50,Mendoza,40 a 49,Varón,33,5.5,94807.19,3198267.55,33.72,185.46
2018,50,Mendoza,50 a 59,Mujer,51,8.5,94611.04,2803255.32,29.61,251.68
2018,50,Mendoza,50 a 59,Varón,67,11.17,91004.18,2267126.11,24.88,277.82
2018,50,Mendoza,60 a 69,Mujer,162,27,89138.12,1881505.15,21.06,568.67
2018,50,Mendoza,60 a 69,Varón,214,35.67,81649.99,1398833.14,17.06,608.38
2018,50,Mendoza,70 a 79,Mujer,245,40.83,77039.5,1045016.18,13.47,549.92
2018,50,Mendoza,70 a 79,Varón,287,47.83,62091.13,672544.48,10.69,511.2
2018,50,Mendoza,80+,Mujer,362,120.67,61218.22,517455,8.45,1019.95
2018,50,Mendoza,80+,Varón,257,85.67,40745.57,276362.57,6.78,581.05
2018,54,Misiones,20 a 29,Mujer,5,0.83,98676.96,5721835.44,57.98,48.32
2018,54,Misiones,20 a 29,Varón,3,0.5,97988.53,5129326.1,52.34,26.17
2018,54,Misiones,30 a 39,Mujer,7,1.17,98073.65,4737959.6,48.31,56.36
2018,54,Misiones,30 a 39,Varón,5,0.83,96648.18,4156118.88,42.99,35.83
2018,54,Misiones,40 a 49,Mujer,14,2.33,96966.42,3762283.1,38.79,90.51
2018,54,Misiones,40 a 49,Varón,26,4.33,94807.19,3198267.55,33.72,146.12
2018,54,Misiones,50 a 59,Mujer,57,9.5,94611.04,2803255.32,29.61,281.29
2018,54,Misiones,50 a 59,Varón,92,15.33,91004.18,2267126.11,24.88,381.49
2018,54,Misiones,60 a 69,Mujer,132,22,89138.12,1881505.15,21.06,463.36
2018,54,Misiones,60 a 69,Varón,178,29.67,81649.99,1398833.14,17.06,506.03
2018,54,Misiones,70 a 79,Mujer,152,25.33,77039.5,1045016.18,13.47,341.18
2018,54,Misiones,70 a 79,Varón,143,23.83,62091.13,672544.48,10.69,254.71
2018,54,Misiones,80+,Mujer,148,49.33,61218.22,517455,8.45,417
2018,54,Misiones,80+,Varón,101,33.67,40745.57,276362.57,6.78,228.35
2018,58,Neuquén,20 a 29,Mujer,2,0.33,98676.96,5721835.44,57.98,19.33
2018,58,Neuquén,20 a 29,Varón,1,0.17,97988.53,5129326.1,52.34,8.72
2018,58,Neuquén,30 a 39,Mujer,1,0.17,98073.65,4737959.6,48.31,8.05
2018,58,Neuquén,30 a 39,Varón,3,0.5,96648.18,4156118.88,42.99,21.5
2018,58,Neuquén,40 a 49,Mujer,11,1.83,96966.42,3762283.1,38.79,71.12
2018,58,Neuquén,40 a 49,Varón,15,2.5,94807.19,3198267.55,33.72,84.3
2018,58,Neuquén,50 a 59,Mujer,33,5.5,94611.04,2803255.32,29.61,162.85
2018,58,Neuquén,50 a 59,Varón,42,7,91004.18,2267126.11,24.88,174.16
2018,58,Neuquén,60 a 69,Mujer,75,12.5,89138.12,1881505.15,21.06,263.27
2018,58,Neuquén,60 a 69,Varón,107,17.83,81649.99,1398833.14,17.06,304.19
2018,58,Neuquén,70 a 79,Mujer,111,18.5,77039.5,1045016.18,13.47,249.15
2018,58,Neuquén,70 a 79,Varón,154,25.67,62091.13,672544.48,10.69,274.3
2018,58,Neuquén,80+,Mujer,145,48.33,61218.22,517455,8.45,408.54
2018,58,Neuquén,80+,Varón,131,43.67,40745.57,276362.57,6.78,296.18
2018,62,Río Negro,20 a 29,Mujer,0,0,98676.96,5721835.44,57.98,0
2018,62,Río Negro,20 a 29,Varón,0,0,97988.53,5129326.1,52.34,0
2018,62,Río Negro,30 a 39,Mujer,0,0,98073.65,4737959.6,48.31,0
2018,62,Río Negro,30 a 39,Varón,3,0.5,96648.18,4156118.88,42.99,21.5
2018,62,Río Negro,40 a 49,Mujer,5,0.83,96966.42,3762283.1,38.79,32.33
2018,62,Río Negro,40 a 49,Varón,5,0.83,94807.19,3198267.55,33.72,28.1
2018,62,Río Negro,50 a 59,Mujer,7,1.17,94611.04,2803255.32,29.61,34.54
2018,62,Río Negro,50 a 59,Varón,34,5.67,91004.18,2267126.11,24.88,140.98
2018,62,Río Negro,60 a 69,Mujer,34,5.67,89138.12,1881505.15,21.06,119.35
2018,62,Río Negro,60 a 69,Varón,50,8.33,81649.99,1398833.14,17.06,142.14
2018,62,Río Negro,70 a 79,Mujer,47,7.83,77039.5,1045016.18,13.47,105.5
2018,62,Río Negro,70 a 79,Varón,81,13.5,62091.13,672544.48,10.69,144.28
2018,62,Río Negro,80+,Mujer,80,26.67,61218.22,517455,8.45,225.4
2018,62,Río Negro,80+,Varón,47,15.67,40745.57,276362.57,6.78,106.26
2018,66,Salta,20 a 29,Mujer,5,0.83,98676.96,5721835.44,57.98,48.32
2018,66,Salta,20 a 29,Varón,6,1,97988.53,5129326.1,52.34,52.34
2018,66,Salta,30 a 39,Mujer,3,0.5,98073.65,4737959.6,48.31,24.15
2018,66,Salta,30 a 39,Varón,6,1,96648.18,4156118.88,42.99,42.99
2018,66,Salta,40 a 49,Mujer,16,2.67,96966.42,3762283.1,38.79,103.44
2018,66,Salta,40 a 49,Varón,20,3.33,94807.19,3198267.55,33.72,112.4
2018,66,Salta,50 a 59,Mujer,63,10.5,94611.04,2803255.32,29.61,310.9
2018,66,Salta,50 a 59,Varón,72,12,91004.18,2267126.11,24.88,298.55
2018,66,Salta,60 a 69,Mujer,118,19.67,89138.12,1881505.15,21.06,414.21
2018,66,Salta,60 a 69,Varón,158,26.33,81649.99,1398833.14,17.06,449.17
2018,66,Salta,70 a 79,Mujer,111,18.5,77039.5,1045016.18,13.47,249.15
2018,66,Salta,70 a 79,Varón,148,24.67,62091.13,672544.48,10.69,263.62
2018,66,Salta,80+,Mujer,124,41.33,61218.22,517455,8.45,349.38
2018,66,Salta,80+,Varón,87,29,40745.57,276362.57,6.78,196.7
2018,70,San Juan,20 a 29,Mujer,1,0.17,98676.96,5721835.44,57.98,9.66
2018,70,San Juan,20 a 29,Varón,2,0.33,97988.53,5129326.1,52.34,17.45
2018,70,San Juan,30 a 39,Mujer,2,0.33,98073.65,4737959.6,48.31,16.1
2018,70,San Juan,30 a 39,Varón,6,1,96648.18,4156118.88,42.99,42.99
2018,70,San Juan,40 a 49,Mujer,7,1.17,96966.42,3762283.1,38.79,45.26
2018,70,San Juan,40 a 49,Varón,9,1.5,94807.19,3198267.55,33.72,50.58
2018,70,San Juan,50 a 59,Mujer,30,5,94611.04,2803255.32,29.61,148.05
2018,70,San Juan,50 a 59,Varón,36,6,91004.18,2267126.11,24.88,149.28
2018,70,San Juan,60 a 69,Mujer,74,12.33,89138.12,1881505.15,21.06,259.76
2018,70,San Juan,60 a 69,Varón,102,17,81649.99,1398833.14,17.06,289.97
