anio_enfr,prov_nombre,grupo_edad_10,sexo,prev_dm,prev_dm_cv
2009,San Luis,60 a 69,Mujer,0.21267017410641645,0.21385288221398122
2009,San Luis,70 a 79,Varón,0.2811945997545343,0.28679799962150093
2009,San Luis,70 a 79,Mujer,0.3325301204819277,0.2144473769733418
2009,San Luis,80+,Varón,0,NA
2009,San Luis,80+,Mujer,0.06272401433691756,0.7566043358925899
2009,Santa Cruz,20 a 29,Varón,0.028440743564182254,0.6129017149409445
2009,Santa Cruz,20 a 29,Mujer,0.046490949507780245,0.4057645312259983
2009,Santa Cruz,30 a 39,Varón,0.03595394939358493,0.45921084114474353
2009,Santa Cruz,30 a 39,Mujer,0.09366515837104072,0.33248309930744885
2009,Santa Cruz,40 a 49,Varón,0.04607106826588948,0.457723098688427
2009,Santa Cruz,40 a 49,Mujer,0.14824857100981972,0.25182279409377334
2009,Santa Cruz,50 a 59,Varón,0.10657009829280911,0.3308842632731956
2009,Santa Cruz,50 a 59,Mujer,0.11958504331965344,0.34315017631434647
2009,Santa Cruz,60 a 69,Varón,0.3055036344755971,0.24080875042155905
2009,Santa Cruz,60 a 69,Mujer,0.3127329192546584,0.19400921397767906
2009,Santa Cruz,70 a 79,Varón,0.26676829268292684,0.26135268139594325
2009,Santa Cruz,70 a 79,Mujer,0.27436232831916285,0.2996255918209173
2009,Santa Cruz,80+,Varón,0,NA
2009,Santa Cruz,80+,Mujer,0.1642651296829971,0.6748825497746206
2009,Santa Fe,20 a 29,Varón,0.036665641030814475,0.574981786900949
2009,Santa Fe,20 a 29,Mujer,0.028028350515463915,0.37220836872848906
2009,Santa Fe,30 a 39,Varón,0.04208677883847897,0.3433380376056999
2009,Santa Fe,30 a 39,Mujer,0.041861548960535296,0.33435050484784457
2009,Santa Fe,40 a 49,Varón,0.09789784671325492,0.2561908901938494
2009,Santa Fe,40 a 49,Mujer,0.07573337762559411,0.2738734176112232
2009,Santa Fe,50 a 59,Varón,0.13785714285714284,0.3347195053355335
2009,Santa Fe,50 a 59,Mujer,0.09051252800255348,0.25943453222172497
2009,Santa Fe,60 a 69,Varón,0.18694863705914577,0.22386306973699188
2009,Santa Fe,60 a 69,Mujer,0.1356590233783708,0.2211996730195933
2009,Santa Fe,70 a 79,Varón,0.2576143537490309,0.22596933376448505
2009,Santa Fe,70 a 79,Mujer,0.13032517435920216,0.2422559819736686
2009,Santa Fe,80+,Varón,0.19357700496806246,0.35907817904802086
2009,Santa Fe,80+,Mujer,0.11600323872464276,0.386086057542499
2009,Santiago del Estero,20 a 29,Varón,0.06723187992780469,0.36139945647602945
2009,Santiago del Estero,20 a 29,Mujer,0.12372401378613922,0.27951486042212914
2009,Santiago del Estero,30 a 39,Varón,0.09936215011146891,0.36381731008923274
2009,Santiago del Estero,30 a 39,Mujer,0.1559635486464755,0.22056190067928244
2009,Santiago del Estero,40 a 49,Varón,0.16186974047097094,0.2978663178595084
2009,Santiago del Estero,40 a 49,Mujer,0.1508990693051414,0.2696664168445854
2009,Santiago del Estero,50 a 59,Varón,0.25387020808400573,0.25833400223634445
2009,Santiago del Estero,50 a 59,Mujer,0.24900089715357637,0.24908207553801337
2009,Santiago del Estero,60 a 69,Varón,0.2699090549624357,0.30253774015832985
2009,Santiago del Estero,60 a 69,Mujer,0.2415615495836865,0.27201074442775186
2009,Santiago del Estero,70 a 79,Varón,0.3335031068554548,0.3379268149418668
2009,Santiago del Estero,70 a 79,Mujer,0.21748878923766815,0.30969999074587273
2009,Santiago del Estero,80+,Varón,0,NA
2009,Santiago del Estero,80+,Mujer,0.14996869129618035,0.5684823833787368
2009,Tierra del Fuego,20 a 29,Varón,0.05635537033529077,0.46251308564566385
2009,Tierra del Fuego,20 a 29,Mujer,0.12031961349066245,0.2625621106958474
2009,Tierra del Fuego,30 a 39,Varón,0.027680525164113786,0.5214688342475206
2009,Tierra del Fuego,30 a 39,Mujer,0.11114872489280073,0.26707713199715205
2009,Tierra del Fuego,40 a 49,Varón,0.11318166228421173,0.2923121475782988
2009,Tierra del Fuego,40 a 49,Mujer,0.17546600020826825,0.22786008694264887
