anio_enfr,codprov_censo,prov_nombre,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2005,14,Córdoba,Centro,80+,Mujer,539,179.66666666666666,97889.69055,2704000.1218,27.622930531370443,4962.919852136222
2005,14,Córdoba,Centro,80+,Varón,299,99.66666666666667,96298.78607,2266735.9454,23.538572373615384,2346.0110465703333
2005,18,Corrientes,NEA,30 a 39,Mujer,3,1,98257.61885,4983143.736,50.71508748453657,50.71508748453657
2005,18,Corrientes,NEA,30 a 39,Varón,0,0,96997.57994,4397739.3413,45.33865013972843,0
2005,18,Corrientes,NEA,40 a 49,Mujer,7,2.3333333333333335,97340.83661,4492775.462499999,46.15509398692027,107.69521930281397
2005,18,Corrientes,NEA,40 a 49,Varón,12,4,95386.37498,3914498.4263,41.03833935528808,164.15335742115232
2005,18,Corrientes,NEA,50 a 59,Mujer,23,7.666666666666667,95441.65065,4007943.3663,41.99365097946365,321.95132417588803
2005,18,Corrientes,NEA,50 a 59,Varón,38,12.666666666666666,92417.20236,3440462.4833,37.227511712571605,471.54848169257366
2005,18,Corrientes,NEA,60 a 69,Mujer,64,21.333333333333332,91170.49198,3534888.1766999997,38.772283662519285,827.1420514670781
2005,18,Corrientes,NEA,60 a 69,Varón,85,28.333333333333332,85071.85545,2985441.5738,35.09317573959179,994.3066459551007
2005,18,Corrientes,NEA,70 a 79,Mujer,99,33,81312.23623,3089197.6009,37.991792430377735,1253.7291502024652
2005,18,Corrientes,NEA,70 a 79,Varón,94,31.333333333333332,68546.20957,2577191.6172,37.59787205400685,1178.0666576922147
2005,18,Corrientes,NEA,80+,Mujer,79,26.333333333333332,97889.69055,2704000.1218,27.622930531370443,727.4038373260883
2005,18,Corrientes,NEA,80+,Varón,41,13.666666666666666,96298.78607,2266735.9454,23.538572373615384,321.6938224394102
2005,22,Chaco,NEA,30 a 39,Mujer,2,0.6666666666666666,98257.61885,4983143.736,50.71508748453657,33.81005832302438
2005,22,Chaco,NEA,30 a 39,Varón,3,1,96997.57994,4397739.3413,45.33865013972843,45.33865013972843
2005,22,Chaco,NEA,40 a 49,Mujer,10,3.3333333333333335,97340.83661,4492775.462499999,46.15509398692027,153.85031328973423
