anio_enfr,region_deis,grupo_edad10,sexo,defun_n,defun_mean,lx,nLx,ndx,nMx,nqx,Tx,ex,AVP
2009,NOA2,30 a 39,Mujer,3,0.5,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,25.357543742268284
2009,NOA2,30 a 39,Varón,2,0.3333333333333333,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,15.112883379909476
2009,NOA2,40 a 49,Mujer,6,1,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,46.15509398692027
2009,NOA2,40 a 49,Varón,13,2.1666666666666665,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,88.9164019364575
2009,NOA2,50 a 59,Mujer,42,7,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,293.95555685624555
2009,NOA2,50 a 59,Varón,50,8.333333333333334,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,310.22926427143005
2009,NOA2,60 a 69,Mujer,53,8.833333333333334,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,342.48850568558703
2009,NOA2,60 a 69,Varón,94,15.666666666666666,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,549.7930865869381
2009,NOA2,70 a 79,Mujer,81,13.5,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,512.8891978100994
2009,NOA2,70 a 79,Varón,99,16.5,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,620.364888891113
2009,NOA2,80+,Mujer,76,12.666666666666666,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,349.89045339735895
2009,NOA2,80+,Varón,44,7.333333333333333,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,172.6161974065128
2009,Patagonia Norte,30 a 39,Mujer,0,0,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,0
2009,Patagonia Norte,30 a 39,Varón,1,0.1111111111111111,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,5.037627793303159
2009,Patagonia Norte,40 a 49,Mujer,12,1.3333333333333333,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,61.54012531589369
2009,Patagonia Norte,40 a 49,Varón,13,1.4444444444444444,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,59.277601290971674
2009,Patagonia Norte,50 a 59,Mujer,37,4.111111111111111,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,172.640565137795
2009,Patagonia Norte,50 a 59,Varón,55,6.111111111111111,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,227.50146046571535
2009,Patagonia Norte,60 a 69,Mujer,83,9.222222222222221,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,357.56661599878896
2009,Patagonia Norte,60 a 69,Varón,123,13.666666666666666,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,479.6067351077545
2009,Patagonia Norte,70 a 79,Mujer,121,13.444444444444445,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,510.7785426750784
2009,Patagonia Norte,70 a 79,Varón,157,17.444444444444443,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,655.8739902754528
2009,Patagonia Norte,80+,Mujer,162,18,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,497.212749564668
2009,Patagonia Norte,80+,Varón,106,11.777777777777779,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,277.2320746225812
2009,Patagonia Sur,30 a 39,Mujer,2,0.2222222222222222,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,11.270019441008126
2009,Patagonia Sur,30 a 39,Varón,1,0.1111111111111111,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,5.037627793303159
2009,Patagonia Sur,40 a 49,Mujer,5,0.5555555555555556,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,25.641718881622374
2009,Patagonia Sur,40 a 49,Varón,6,0.6666666666666666,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,27.358892903525387
2009,Patagonia Sur,50 a 59,Mujer,15,1.6666666666666667,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,69.98941829910609
2009,Patagonia Sur,50 a 59,Varón,23,2.5555555555555554,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,95.13697437657187
2009,Patagonia Sur,60 a 69,Mujer,24,2.6666666666666665,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,103.39275643338476
2009,Patagonia Sur,60 a 69,Varón,55,6.111111111111111,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,214.45829618639428
2009,Patagonia Sur,70 a 79,Mujer,49,5.444444444444445,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,206.84420323205657
2009,Patagonia Sur,70 a 79,Varón,81,9,68546.20957,310455.6718,12910.15042,0.041584521,0.188342295,2577191.6172,37.59787205400685,338.38084848606167
2009,Patagonia Sur,80+,Mujer,62,6.888888888888889,97889.69055,2704000.1218,82869.3959018,0.280921026,1.540407799,2704000.1218,27.622930531370443,190.29129921610752
2009,Patagonia Sur,80+,Varón,42,4.666666666666667,96298.78607,2266735.9454,72560.4936879,0.409304074,1.873138098,2266735.9454,23.538572373615384,109.8466710768718
2013,Centro,30 a 39,Mujer,52,3.466666666666667,98257.61885,490368.2735,367.9282986,7.5031e-4,0.003744527,4983143.736,50.71508748453657,175.81230327972676
2013,Centro,30 a 39,Varón,62,4.133333333333334,96997.57994,483240.915,698.7938737,0.001446057,0.00720424,4397739.3413,45.33865013972843,187.39975391087754
2013,Centro,40 a 49,Mujer,127,8.466666666666667,97340.83661,484832.09620000003,748.8347317,0.001544524,0.007692914,4492775.462499999,46.15509398692027,390.77979575592497
2013,Centro,40 a 49,Varón,233,15.533333333333333,95386.37498,474035.943,1158.372781,0.0024436390000000005,0.012144007,3914498.4263,41.03833935528808,637.4622046521415
2013,Centro,50 a 59,Mujer,460,30.666666666666668,95441.65065,473055.1896,1661.225453,0.003511695,0.017405665999999997,4007943.3663,41.99365097946365,1287.8052967035521
2013,Centro,50 a 59,Varón,766,51.06666666666667,92417.20236,455020.9095,2826.040916,0.006210794,0.030579165,3440462.4833,37.227511712571605,1901.0849314553234
2013,Centro,60 a 69,Mujer,1164,77.6,91170.49198,445690.5758,4064.753633,0.009120125,0.044584092,3534888.1766999997,38.772283662519285,3008.7292122114964
2013,Centro,60 a 69,Varón,1744,116.26666666666667,85071.85545,408249.9566,6843.728265,0.016763574,0.080446444,2985441.5738,35.09317573959179,4080.166565989872
2013,Centro,70 a 79,Mujer,1707,113.8,81312.23623,385197.4791,8545.480834,0.022184675,0.10509464800000001,3089197.6009,37.991792430377735,4323.465978576986
