anio_enfr,codprov_censo,region_deis,grupo_edad_10,sexo,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,dm2_prev_cv_cat
2005,34,NEA,40 a 49,Mujer,1842,501.83,1657.8,451.65,0.09,0.02,0.26,Alta
2005,34,NEA,40 a 49,Varón,2256,749.87,2030.4,674.89,0.1,0.03,0.31,Muy alta
2005,34,NEA,50 a 59,Mujer,2918,1183.79,2626.2,1065.41,0.18,0.06,0.34,Muy alta
2005,34,NEA,50 a 59,Varón,1380,439.24,1242,395.32,0.08,0.02,0.31,Muy alta
2005,34,NEA,60 a 69,Mujer,2509,795.68,2258.1,716.11,0.3,0.08,0.27,Alta
2005,34,NEA,60 a 69,Varón,655,274.6,589.5,247.14,0.1,0.04,0.43,Muy alta
2005,34,NEA,70 a 79,Mujer,1711,911.53,1539.9,820.38,0.21,0.1,0.49,Muy alta
2005,34,NEA,70 a 79,Varón,135,89.02,121.5,80.12,0.03,0.02,0.69,Muy alta
2005,34,NEA,80+,Mujer,325,159.04,292.5,143.14,0.13,0.06,0.49,Muy alta
2005,34,NEA,80+,Varón,74,52.34,66.6,47.11,0.03,0.02,0.75,Muy alta
2005,38,NOA1,30 a 39,Mujer,1077,438.47,969.3,394.62,0.02,0.01,0.41,Muy alta
2005,38,NOA1,30 a 39,Varón,509,291.8,458.1,262.62,0.01,0.01,0.57,Muy alta
2005,38,NOA1,40 a 49,Mujer,1582,501.43,1423.8,451.29,0.05,0.02,0.32,Muy alta
2005,38,NOA1,40 a 49,Varón,752,380.79,676.8,342.71,0.03,0.02,0.51,Muy alta
2005,38,NOA1,50 a 59,Mujer,1008,368.91,907.2,332.02,0.04,0.02,0.41,Muy alta
2005,38,NOA1,50 a 59,Varón,2327,901.54,2094.3,811.38,0.09,0.03,0.37,Muy alta
2005,38,NOA1,60 a 69,Mujer,1174,403.47,1056.6,363.13,0.09,0.03,0.34,Muy alta
2005,38,NOA1,60 a 69,Varón,2773,796.18,2495.7,716.56,0.16,0.04,0.27,Alta
2005,38,NOA1,70 a 79,Mujer,667,268.6,600.3,241.74,0.06,0.03,0.41,Muy alta
2005,38,NOA1,70 a 79,Varón,564,295.24,507.6,265.72,0.06,0.03,0.57,Muy alta
2005,38,NOA1,80+,Mujer,289,149.48,260.1,134.53,0.09,0.05,0.51,Muy alta
2005,38,NOA1,80+,Varón,214,151.38,192.6,136.24,0.08,0.06,0.71,Muy alta
2005,42,Patagonia Norte,30 a 39,Mujer,1878,640.42,1690.2,576.38,0.09,0.03,0.32,Muy alta
2005,42,Patagonia Norte,30 a 39,Varón,194,139.27,174.6,125.34,0.01,0.01,0.72,Muy alta
2005,42,Patagonia Norte,40 a 49,Mujer,1129,332.66,1016.1,299.39,0.09,0.02,0.28,Alta
2005,42,Patagonia Norte,40 a 49,Varón,97,97,87.3,87.3,0.01,0.01,1,Muy alta
2005,42,Patagonia Norte,50 a 59,Mujer,992,325.31,892.8,292.78,0.09,0.03,0.31,Muy alta
2005,42,Patagonia Norte,50 a 59,Varón,1329,468.84,1196.1,421.96,0.12,0.04,0.33,Muy alta
2005,42,Patagonia Norte,60 a 69,Mujer,976,404.79,878.4,364.31,0.13,0.05,0.37,Muy alta
2005,42,Patagonia Norte,60 a 69,Varón,790,323.25,711,290.93,0.14,0.05,0.38,Muy alta
2005,42,Patagonia Norte,70 a 79,Mujer,598,217.77,538.2,196,0.11,0.04,0.34,Muy alta
2005,42,Patagonia Norte,70 a 79,Varón,1239,448.7,1115.1,403.83,0.22,0.07,0.31,Muy alta
2005,42,Patagonia Norte,80+,Mujer,154,104.16,138.6,93.75,0.06,0.04,0.66,Muy alta
2005,42,Patagonia Norte,80+,Varón,114,85.91,102.6,77.32,0.09,0.07,0.75,Muy alta
2005,46,Cuyo,30 a 39,Mujer,1443,407.44,1298.7,366.7,0.07,0.02,0.27,Alta
2005,46,Cuyo,30 a 39,Varón,192,120.93,172.8,108.83,0.01,0.01,0.63,Muy alta
2005,46,Cuyo,40 a 49,Mujer,1741,437.95,1566.9,394.16,0.12,0.03,0.23,Alta
2005,46,Cuyo,40 a 49,Varón,1187,377.02,1068.3,339.32,0.08,0.02,0.3,Alta
2005,46,Cuyo,50 a 59,Mujer,2537,585.25,2283.3,526.72,0.22,0.04,0.19,Moderada
2005,46,Cuyo,50 a 59,Varón,1347,432.87,1212.3,389.58,0.12,0.03,0.3,Alta
2005,46,Cuyo,60 a 69,Mujer,1116,369.26,1004.4,332.33,0.15,0.05,0.3,Alta
2005,46,Cuyo,60 a 69,Varón,970,342.76,873,308.48,0.12,0.04,0.34,Muy alta
2005,46,Cuyo,70 a 79,Mujer,1124,381.62,1011.6,343.46,0.29,0.08,0.26,Alta
2005,46,Cuyo,70 a 79,Varón,1116,384.96,1004.4,346.46,0.44,0.1,0.22,Alta
2005,46,Cuyo,80+,Mujer,259,175.9,233.1,158.31,0.19,0.11,0.59,Muy alta
2005,46,Cuyo,80+,Varón,33,33,29.7,29.7,0.02,0.02,1.03,Muy alta
2005,50,Cuyo,30 a 39,Mujer,610,610,549,549,0.01,0.01,1,Muy alta
2005,50,Cuyo,30 a 39,Varón,499,354.98,449.1,319.48,0.01,0,0.71,Muy alta
2005,50,Cuyo,40 a 49,Mujer,6126,1635.56,5513.4,1472.01,0.07,0.02,0.26,Alta
2005,50,Cuyo,40 a 49,Varón,2946,1296.78,2651.4,1167.1,0.04,0.02,0.44,Muy alta
2005,50,Cuyo,50 a 59,Mujer,5773,2017.17,5195.7,1815.45,0.08,0.03,0.33,Muy alta
2005,50,Cuyo,50 a 59,Varón,9521,3096.42,8568.9,2786.78,0.12,0.04,0.3,Alta
2005,50,Cuyo,60 a 69,Mujer,8268,2573.62,7441.2,2316.26,0.12,0.04,0.28,Alta
2005,50,Cuyo,60 a 69,Varón,3386,1232.36,3047.4,1109.12,0.09,0.03,0.36,Muy alta
2005,50,Cuyo,70 a 79,Mujer,4397,1374.99,3957.3,1237.49,0.09,0.03,0.31,Muy alta
2005,50,Cuyo,70 a 79,Varón,4732,1587.15,4258.8,1428.44,0.2,0.06,0.3,Alta
2005,50,Cuyo,80+,Mujer,3399,1402.67,3059.1,1262.4,0.18,0.07,0.37,Muy alta
2005,50,Cuyo,80+,Varón,3413,1342.93,3071.7,1208.64,0.3,0.1,0.32,Muy alta
2005,54,NEA,30 a 39,Mujer,3807,1110.16,3426.3,999.14,0.07,0.02,0.28,Alta
2005,54,NEA,30 a 39,Varón,1085,493.6,976.5,444.24,0.03,0.01,0.45,Muy alta
2005,54,NEA,40 a 49,Mujer,2103,878.58,1892.7,790.72,0.06,0.02,0.4,Muy alta
2005,54,NEA,40 a 49,Varón,2409,923.64,2168.1,831.28,0.06,0.02,0.37,Muy alta
2005,54,NEA,50 a 59,Mujer,4012,1400.5,3610.8,1260.45,0.13,0.04,0.32,Muy alta
2005,54,NEA,50 a 59,Varón,3059,941.56,2753.1,847.41,0.09,0.03,0.3,Alta
2005,54,NEA,60 a 69,Mujer,5126,1481.38,4613.4,1333.25,0.23,0.05,0.24,Alta
2005,54,NEA,60 a 69,Varón,2564,766.42,2307.6,689.78,0.18,0.05,0.28,Alta
2005,54,NEA,70 a 79,Mujer,1063,498.49,956.7,448.64,0.09,0.04,0.45,Muy alta
2005,54,NEA,70 a 79,Varón,2067,794.78,1860.3,715.3,0.14,0.05,0.37,Muy alta
2005,54,NEA,80+,Mujer,386,245.21,347.4,220.69,0.12,0.07,0.62,Muy alta
2005,54,NEA,80+,Varón,720,353.96,648,318.56,0.16,0.08,0.5,Muy alta
2005,58,Patagonia Norte,30 a 39,Mujer,3947,923.86,3552.3,831.48,0.1,0.02,0.22,Alta
2005,58,Patagonia Norte,30 a 39,Varón,2085,735.86,1876.5,662.27,0.06,0.02,0.34,Muy alta
2005,58,Patagonia Norte,40 a 49,Mujer,1800,609.66,1620,548.69,0.06,0.02,0.32,Muy alta
2005,58,Patagonia Norte,40 a 49,Varón,804,428.87,723.6,385.98,0.03,0.02,0.52,Muy alta
2005,58,Patagonia Norte,50 a 59,Mujer,2298,739.45,2068.2,665.51,0.12,0.04,0.29,Alta
2005,58,Patagonia Norte,50 a 59,Varón,3369,965.94,3032.1,869.34,0.14,0.04,0.26,Alta
2005,58,Patagonia Norte,60 a 69,Mujer,1457,501.64,1311.3,451.48,0.17,0.05,0.31,Muy alta
2005,58,Patagonia Norte,60 a 69,Varón,1999,634.34,1799.1,570.91,0.19,0.05,0.28,Alta
2005,58,Patagonia Norte,70 a 79,Mujer,1513,488.95,1361.7,440.05,0.16,0.05,0.32,Muy alta
2005,58,Patagonia Norte,70 a 79,Varón,1097,392,987.3,352.8,0.16,0.06,0.35,Muy alta
