anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2001,46,La Rioja,Cuyo,Varón,70 a 79,4087,NA,769536
2001,46,La Rioja,Cuyo,Varón,80+,1363,NA,329851
2001,50,Mendoza,Cuyo,Mujer,30 a 39,100705,NA,2948351
2001,50,Mendoza,Cuyo,Mujer,40 a 49,94178,NA,2333346
2001,50,Mendoza,Cuyo,Mujer,50 a 59,78564,NA,2043266
2001,50,Mendoza,Cuyo,Mujer,60 a 69,58053,NA,1572788
2001,50,Mendoza,Cuyo,Mujer,70 a 79,41980,NA,1067525
2001,50,Mendoza,Cuyo,Mujer,80+,16666,NA,671649
2001,50,Mendoza,Cuyo,Varón,30 a 39,96532,NA,2875168
2001,50,Mendoza,Cuyo,Varón,40 a 49,86474,NA,2226600
2001,50,Mendoza,Cuyo,Varón,50 a 59,71178,NA,1896227
2001,50,Mendoza,Cuyo,Varón,60 a 69,50042,NA,1360347
2001,50,Mendoza,Cuyo,Varón,70 a 79,31351,NA,769536
2001,50,Mendoza,Cuyo,Varón,80+,9524,NA,329851
2001,54,Misiones,NEA,Mujer,30 a 39,59208,NA,2948351
2001,54,Misiones,NEA,Mujer,40 a 49,48556,NA,2333346
2001,54,Misiones,NEA,Mujer,50 a 59,30993,NA,2043266
2001,54,Misiones,NEA,Mujer,60 a 69,22325,NA,1572788
2001,54,Misiones,NEA,Mujer,70 a 79,12672,NA,1067525
2001,54,Misiones,NEA,Mujer,80+,4789,NA,671649
2001,54,Misiones,NEA,Varón,30 a 39,59063,NA,2875168
2001,54,Misiones,NEA,Varón,40 a 49,50108,NA,2226600
2001,54,Misiones,NEA,Varón,50 a 59,32763,NA,1896227
2001,54,Misiones,NEA,Varón,60 a 69,22273,NA,1360347
2001,54,Misiones,NEA,Varón,70 a 79,11546,NA,769536
2001,54,Misiones,NEA,Varón,80+,3427,NA,329851
2001,58,Neuquén,Patagonia Norte,Mujer,30 a 39,35247,NA,2948351
2001,58,Neuquén,Patagonia Norte,Mujer,40 a 49,28487,NA,2333346
2001,58,Neuquén,Patagonia Norte,Mujer,50 a 59,18423,NA,2043266
2001,58,Neuquén,Patagonia Norte,Mujer,60 a 69,11195,NA,1572788
2001,58,Neuquén,Patagonia Norte,Mujer,70 a 79,6492,NA,1067525
2001,58,Neuquén,Patagonia Norte,Mujer,80+,2651,NA,671649
2001,58,Neuquén,Patagonia Norte,Varón,30 a 39,34897,NA,2875168
2001,58,Neuquén,Patagonia Norte,Varón,40 a 49,28437,NA,2226600
2001,58,Neuquén,Patagonia Norte,Varón,50 a 59,18941,NA,1896227
2001,58,Neuquén,Patagonia Norte,Varón,60 a 69,10867,NA,1360347
2001,58,Neuquén,Patagonia Norte,Varón,70 a 79,5179,NA,769536
2001,58,Neuquén,Patagonia Norte,Varón,80+,1526,NA,329851
2001,62,Río Negro,Patagonia Norte,Mujer,30 a 39,38848,NA,2948351
2001,62,Río Negro,Patagonia Norte,Mujer,40 a 49,34059,NA,2333346
2001,62,Río Negro,Patagonia Norte,Mujer,50 a 59,24555,NA,2043266
2001,62,Río Negro,Patagonia Norte,Mujer,60 a 69,16802,NA,1572788
2001,62,Río Negro,Patagonia Norte,Mujer,70 a 79,10445,NA,1067525
2001,62,Río Negro,Patagonia Norte,Mujer,80+,4298,NA,671649
2001,62,Río Negro,Patagonia Norte,Varón,30 a 39,38115,NA,2875168
2001,62,Río Negro,Patagonia Norte,Varón,40 a 49,33493,NA,2226600
2001,62,Río Negro,Patagonia Norte,Varón,50 a 59,25159,NA,1896227
2001,62,Río Negro,Patagonia Norte,Varón,60 a 69,16270,NA,1360347
2001,62,Río Negro,Patagonia Norte,Varón,70 a 79,8790,NA,769536
2001,62,Río Negro,Patagonia Norte,Varón,80+,2627,NA,329851
2001,66,Salta,NOA1,Mujer,30 a 39,66528,NA,2948351
2001,66,Salta,NOA1,Mujer,40 a 49,54396,NA,2333346
2001,66,Salta,NOA1,Mujer,50 a 59,39421,NA,2043266
2001,66,Salta,NOA1,Mujer,60 a 69,27113,NA,1572788
2001,66,Salta,NOA1,Mujer,70 a 79,16513,NA,1067525
2001,66,Salta,NOA1,Mujer,80+,6445,NA,671649
2001,66,Salta,NOA1,Varón,30 a 39,65743,NA,2875168
2001,66,Salta,NOA1,Varón,40 a 49,52816,NA,2226600
2001,66,Salta,NOA1,Varón,50 a 59,38096,NA,1896227
2001,66,Salta,NOA1,Varón,60 a 69,25576,NA,1360347
2001,66,Salta,NOA1,Varón,70 a 79,14096,NA,769536
2001,66,Salta,NOA1,Varón,80+,4353,NA,329851
2001,70,San Juan,Cuyo,Mujer,30 a 39,39305,NA,2948351
2001,70,San Juan,Cuyo,Mujer,40 a 49,35980,NA,2333346
2001,70,San Juan,Cuyo,Mujer,50 a 59,29355,NA,2043266
2001,70,San Juan,Cuyo,Mujer,60 a 69,20688,NA,1572788
2001,70,San Juan,Cuyo,Mujer,70 a 79,13750,NA,1067525
2001,70,San Juan,Cuyo,Mujer,80+,4853,NA,671649
2001,70,San Juan,Cuyo,Varón,30 a 39,37753,NA,2875168
2001,70,San Juan,Cuyo,Varón,40 a 49,32269,NA,2226600
2001,70,San Juan,Cuyo,Varón,50 a 59,26803,NA,1896227
2001,70,San Juan,Cuyo,Varón,60 a 69,17454,NA,1360347
2001,70,San Juan,Cuyo,Varón,70 a 79,10622,NA,769536
2001,70,San Juan,Cuyo,Varón,80+,2881,NA,329851
2001,74,San Luis,Cuyo,Mujer,30 a 39,23923,NA,2948351
2001,74,San Luis,Cuyo,Mujer,40 a 49,20737,NA,2333346
2001,74,San Luis,Cuyo,Mujer,50 a 59,16082,NA,2043266
2001,74,San Luis,Cuyo,Mujer,60 a 69,11456,NA,1572788
2001,74,San Luis,Cuyo,Mujer,70 a 79,7588,NA,1067525
2001,74,San Luis,Cuyo,Mujer,80+,3226,NA,671649
2001,74,San Luis,Cuyo,Varón,30 a 39,25175,NA,2875168
2001,74,San Luis,Cuyo,Varón,40 a 49,20778,NA,2226600
2001,74,San Luis,Cuyo,Varón,50 a 59,16359,NA,1896227
2001,74,San Luis,Cuyo,Varón,60 a 69,10851,NA,1360347
2001,74,San Luis,Cuyo,Varón,70 a 79,5823,NA,769536
2001,74,San Luis,Cuyo,Varón,80+,1849,NA,329851
2001,78,Santa Cruz,Patagonia Sur,Mujer,30 a 39,14639,NA,2948351
2001,78,Santa Cruz,Patagonia Sur,Mujer,40 a 49,11631,NA,2333346
2001,78,Santa Cruz,Patagonia Sur,Mujer,50 a 59,7112,NA,2043266
2001,78,Santa Cruz,Patagonia Sur,Mujer,60 a 69,4675,NA,1572788
2001,78,Santa Cruz,Patagonia Sur,Mujer,70 a 79,2368,NA,1067525
2001,78,Santa Cruz,Patagonia Sur,Mujer,80+,836,NA,671649
2001,78,Santa Cruz,Patagonia Sur,Varón,30 a 39,15342,NA,2875168
2001,78,Santa Cruz,Patagonia Sur,Varón,40 a 49,12930,NA,2226600
2001,78,Santa Cruz,Patagonia Sur,Varón,50 a 59,8059,NA,1896227
2001,78,Santa Cruz,Patagonia Sur,Varón,60 a 69,5071,NA,1360347
2001,78,Santa Cruz,Patagonia Sur,Varón,70 a 79,2263,NA,769536
2001,78,Santa Cruz,Patagonia Sur,Varón,80+,537,NA,329851
2001,82,Santa Fe,Centro,Mujer,30 a 39,192329,NA,2948351
2001,82,Santa Fe,Centro,Mujer,40 a 49,181195,NA,2333346
2001,82,Santa Fe,Centro,Mujer,50 a 59,152308,NA,2043266
2001,82,Santa Fe,Centro,Mujer,60 a 69,128893,NA,1572788
2001,82,Santa Fe,Centro,Mujer,70 a 79,102606,NA,1067525
2001,82,Santa Fe,Centro,Mujer,80+,47520,NA,671649
2001,82,Santa Fe,Centro,Varón,30 a 39,193151,NA,2875168
2001,82,Santa Fe,Centro,Varón,40 a 49,173847,NA,2226600
2001,82,Santa Fe,Centro,Varón,50 a 59,142358,NA,1896227
