anio_enfr,prov_id,prov_nombre,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2009,22,Chaco,Mujeres,249103.37997298045,108975.68344228165,140127.6965306988,10636925,2341.87,1024.5,1317.37
2013,22,Chaco,Mujeres,221478.16494009044,88818.07473175909,132660.09020833136,10636925,2082.16,835,1247.17
2018,22,Chaco,Mujeres,278043.09806319774,111790.50387720417,166252.5941859935,10636925,2613.94,1050.97,1562.98
2005,26,Chubut,Mujeres,230308.820969904,60857.36952573286,169451.4514441711,10636925,2165.18,572.13,1593.05
2009,26,Chubut,Mujeres,200484.663988349,62063.364120339524,138421.2998680095,10636925,1884.8,583.47,1301.33
2013,26,Chubut,Mujeres,222418.66088785604,69500.27925044173,152918.3816374143,10636925,2091.01,653.39,1437.62
2018,26,Chubut,Mujeres,205370.3015646914,51181.75198623646,154188.54957845496,10636925,1930.73,481.17,1449.56
2005,30,Entre Ríos,Mujeres,201291.81978430616,84732.23636450889,116559.58341979727,10636925,1892.39,796.59,1095.8
2009,30,Entre Ríos,Mujeres,208379.74422770264,61860.074194272696,146519.67003342992,10636925,1959.02,581.56,1377.46
2013,30,Entre Ríos,Mujeres,144277.93204227934,50834.52717033774,93443.40487194159,10636925,1356.39,477.91,878.48
2018,30,Entre Ríos,Mujeres,228081.25666558545,64697.931665546064,163383.3250000394,10636925,2144.24,608.24,1536
2005,34,Formosa,Mujeres,333129.20856272447,189771.4070852956,143357.8014774289,10636925,3131.82,1784.08,1347.74
2009,34,Formosa,Mujeres,335128.2080838186,193099.08716480536,142029.1209190132,10636925,3150.61,1815.37,1335.25
2013,34,Formosa,Mujeres,358793.0459361425,264120.87253798643,94672.1733981561,10636925,3373.09,2483.06,890.03
2018,34,Formosa,Mujeres,346875.441685935,194173.46473489128,152701.97695104376,10636925,3261.05,1825.47,1435.58
2005,38,Jujuy,Mujeres,127557.25525574922,73714.38227233863,53842.87298341059,10636925,1199.19,693,506.19
2009,38,Jujuy,Mujeres,238516.26691900197,62746.827626525315,175769.43929247666,10636925,2242.34,589.9,1652.45
2013,38,Jujuy,Mujeres,192720.33767894865,65720.6777226499,126999.65995629875,10636925,1811.8,617.85,1193.95
2018,38,Jujuy,Mujeres,170433.6307190273,47845.97551533003,122587.65520369727,10636925,1602.28,449.81,1152.47
2005,42,La Pampa,Mujeres,125674.0722498075,50023.27815591532,75650.79409389218,10636925,1181.49,470.28,711.21
2009,42,La Pampa,Mujeres,184006.61698405023,36062.600601069076,147944.01638298115,10636925,1729.89,339.03,1390.85
2013,42,La Pampa,Mujeres,134385.9704133109,39725.47820905618,94660.49220425473,10636925,1263.39,373.47,889.92
2018,42,La Pampa,Mujeres,158608.72017017825,41429.775420749844,117178.94474942841,10636925,1491.11,389.49,1101.62
2005,46,La Rioja,Mujeres,244663.4328290479,94769.1923647949,149894.240464253,10636925,2300.13,890.95,1409.19
2009,46,La Rioja,Mujeres,262288.35776587017,73596.18259340613,188692.17517246402,10636925,2465.83,691.89,1773.94
2013,46,La Rioja,Mujeres,190134.6546288066,80755.0576099976,109379.597018809,10636925,1787.5,759.2,1028.3
2018,46,La Rioja,Mujeres,271139.7657117356,86853.22973770682,184286.53597402875,10636925,2549.04,816.53,1732.52
2005,50,Mendoza,Mujeres,222942.2192112981,133780.96171850883,89161.25749278929,10636925,2095.93,1257.7,838.22
2009,50,Mendoza,Mujeres,238851.75443761246,121904.59511878467,116947.15931882779,10636925,2245.5,1146.05,1099.45
2013,50,Mendoza,Mujeres,209843.01801818848,103482.36330326436,106360.6547149241,10636925,1972.78,972.86,999.92
2018,50,Mendoza,Mujeres,211390.0737081868,78679.45789621127,132710.61581197556,10636925,1987.32,739.68,1247.64
2005,54,Misiones,Mujeres,255036.99719835116,148754.05526885117,106282.94192949998,10636925,2397.66,1398.47,999.19
2009,54,Misiones,Mujeres,230038.98552231965,129868.82732680983,100170.15819550981,10636925,2162.65,1220.92,941.72
2013,54,Misiones,Mujeres,240310.55262060327,131256.2850249026,109054.26759570066,10636925,2259.21,1233.97,1025.24
2018,54,Misiones,Mujeres,311976.40882606746,133038.0318626036,178938.37696346384,10636925,2932.96,1250.72,1682.24
2005,58,Neuquén,Mujeres,267969.7467686404,137122.20146429143,130847.54530434901,10636925,2519.24,1289.12,1230.13
2009,58,Neuquén,Mujeres,269166.24029871117,144822.49021200868,124343.75008670248,10636925,2530.49,1361.51,1168.98
2013,58,Neuquén,Mujeres,283485.1602749314,123147.52477104904,160337.63550388234,10636925,2665.1,1157.74,1507.37
