prov_id,grupo_edad,sexo,anio,value
22,30-34,Mujer,2001,30025
22,30-34,Varón,2005,31485
22,30-34,Mujer,2005,32118
22,35-39,Varón,2001,29423
22,35-39,Mujer,2001,29348
22,35-39,Varón,2005,28608
22,35-39,Mujer,2005,29047
22,40-44,Varón,2001,27328
22,40-44,Mujer,2001,27432
22,40-44,Varón,2005,28635
22,40-44,Mujer,2005,28628
22,45-49,Varón,2001,24772
22,45-49,Mujer,2001,23858
22,45-49,Varón,2005,26117
22,45-49,Mujer,2005,26290
22,50-54,Varón,2001,20122
22,50-54,Mujer,2001,18708
22,50-54,Varón,2005,23219
22,50-54,Mujer,2005,22367
22,55-59,Varón,2001,15622
22,55-59,Mujer,2001,15599
22,55-59,Varón,2005,18045
22,55-59,Mujer,2005,17253
22,60-64,Varón,2001,13155
22,60-64,Mujer,2001,14217
22,60-64,Varón,2005,13622
22,60-64,Mujer,2005,14455
22,65-69,Varón,2001,10603
22,65-69,Mujer,2001,12091
22,65-69,Varón,2005,11035
22,65-69,Mujer,2005,12946
22,70-74,Varón,2001,7871
22,70-74,Mujer,2001,9358
22,70-74,Varón,2005,8262
22,70-74,Mujer,2005,10408
22,75-79,Varón,2001,4726
22,75-79,Mujer,2001,6315
22,75-79,Varón,2005,5415
22,75-79,Mujer,2005,7340
22,80 y más,Varón,2001,3872
22,80 y más,Mujer,2001,5883
22,80 y más,Varón,2005,3833
22,80 y más,Mujer,2005,5982
26,20-24,Varón,2001,19240
26,20-24,Mujer,2001,18522
26,20-24,Varón,2005,19683
26,20-24,Mujer,2005,18783
26,25-29,Varón,2001,16805
26,25-29,Mujer,2001,16428
26,25-29,Varón,2005,18624
26,25-29,Mujer,2005,17954
26,30-34,Varón,2001,14963
26,30-34,Mujer,2001,14611
26,30-34,Varón,2005,16395
26,30-34,Mujer,2005,16121
26,35-39,Varón,2001,14680
26,35-39,Mujer,2001,14256
26,35-39,Varón,2005,14824
26,35-39,Mujer,2005,14623
26,40-44,Varón,2001,13428
26,40-44,Mujer,2001,13052
26,40-44,Varón,2005,14372
26,40-44,Mujer,2005,14022
26,45-49,Varón,2001,11995
26,45-49,Mujer,2001,11834
26,45-49,Varón,2005,12787
26,45-49,Mujer,2005,12655
26,50-54,Varón,2001,9916
26,50-54,Mujer,2001,9577
26,50-54,Varón,2005,11213
26,50-54,Mujer,2005,11251
26,55-59,Varón,2001,7930
26,55-59,Mujer,2001,7701
26,55-59,Varón,2005,8989
26,55-59,Mujer,2005,8904
26,60-64,Varón,2001,6612
26,60-64,Mujer,2001,6541
26,60-64,Varón,2005,7055
26,60-64,Mujer,2005,7170
26,65-69,Varón,2001,4895
26,65-69,Mujer,2001,5325
26,65-69,Varón,2005,5609
26,65-69,Mujer,2005,5999
26,70-74,Varón,2001,3655
26,70-74,Mujer,2001,4142
26,70-74,Varón,2005,3854
26,70-74,Mujer,2005,4670
26,75-79,Varón,2001,2319
26,75-79,Mujer,2001,3036
26,75-79,Varón,2005,2590
26,75-79,Mujer,2005,3445
26,80 y más,Varón,2001,1674
26,80 y más,Mujer,2001,2903
26,80 y más,Varón,2005,1902
26,80 y más,Mujer,2005,3315
30,20-24,Varón,2001,50701
30,20-24,Mujer,2001,49327
30,20-24,Varón,2005,51488
30,20-24,Mujer,2005,50012
30,25-29,Varón,2001,43231
30,25-29,Mujer,2001,41997
30,25-29,Varón,2005,47989
30,25-29,Mujer,2005,46790
30,30-34,Varón,2001,37398
30,30-34,Mujer,2001,36982
30,30-34,Varón,2005,40923
30,30-34,Mujer,2005,39963
30,35-39,Varón,2001,36592
30,35-39,Mujer,2001,35950
30,35-39,Varón,2005,37014
30,35-39,Mujer,2005,36530
30,40-44,Varón,2001,32910
30,40-44,Mujer,2001,34441
30,40-44,Varón,2005,36044
30,40-44,Mujer,2005,35832
30,45-49,Varón,2001,31868
30,45-49,Mujer,2001,32248
30,45-49,Varón,2005,32134
30,45-49,Mujer,2005,34073
30,50-54,Varón,2001,28337
30,50-54,Mujer,2001,28642
30,50-54,Varón,2005,30785
30,50-54,Mujer,2005,31525
30,55-59,Varón,2001,24314
30,55-59,Mujer,2001,24866
30,55-59,Varón,2005,26436
30,55-59,Mujer,2005,27593
30,60-64,Varón,2001,20325
30,60-64,Mujer,2001,22557
30,60-64,Varón,2005,22018
30,60-64,Mujer,2005,23859
30,65-69,Varón,2001,16282
30,65-69,Mujer,2001,20334
30,65-69,Varón,2005,17577
30,65-69,Mujer,2005,21363
30,70-74,Varón,2001,12737
30,70-74,Mujer,2001,17839
30,70-74,Varón,2005,13237
30,70-74,Mujer,2005,18708
30,75-79,Varón,2001,8113
30,75-79,Mujer,2001,13455
30,75-79,Varón,2005,9118
30,75-79,Mujer,2005,15118
30,80 y más,Varón,2001,7155
30,80 y más,Mujer,2001,14524
30,80 y más,Varón,2005,7874
30,80 y más,Mujer,2005,16969
34,20-24,Varón,2001,21094
34,20-24,Mujer,2001,20680
34,20-24,Varón,2005,23192
34,20-24,Mujer,2005,22376
34,25-29,Varón,2001,16533
34,25-29,Mujer,2001,17010
34,25-29,Varón,2005,18988
34,25-29,Mujer,2005,19041
34,30-34,Varón,2001,14615
34,30-34,Mujer,2001,15102
34,30-34,Varón,2005,15281
34,30-34,Mujer,2005,16061
34,35-39,Varón,2001,14842
34,35-39,Mujer,2001,14586
34,35-39,Varón,2005,14597
34,35-39,Mujer,2005,14912
34,40-44,Varón,2001,13277
34,40-44,Mujer,2001,13375
34,40-44,Varón,2005,14738
34,40-44,Mujer,2005,14354
34,45-49,Varón,2001,12002
34,45-49,Mujer,2001,11576
34,45-49,Varón,2005,12870
34,45-49,Mujer,2005,12859
34,50-54,Varón,2001,9700
34,50-54,Mujer,2001,9150
34,50-54,Varón,2005,11411
34,50-54,Mujer,2005,10889
34,55-59,Varón,2001,7530
34,55-59,Mujer,2001,7146
34,55-59,Varón,2005,8861
34,55-59,Mujer,2005,8406
34,60-64,Varón,2001,6405
34,60-64,Mujer,2001,6221
34,60-64,Varón,2005,6824
34,60-64,Mujer,2005,6590
34,65-69,Varón,2001,4944
34,65-69,Mujer,2001,5079
34,65-69,Varón,2005,5646
34,65-69,Mujer,2005,5710
34,70-74,Varón,2001,3768
34,70-74,Mujer,2001,3848
34,70-74,Varón,2005,4017
34,70-74,Mujer,2005,4357
34,75-79,Varón,2001,2395
34,75-79,Mujer,2001,2734
34,75-79,Varón,2005,2761
34,75-79,Mujer,2005,3068
34,80 y más,Varón,2001,2017
34,80 y más,Mujer,2001,2435
34,80 y más,Varón,2005,2076
34,80 y más,Mujer,2005,2635
38,20-24,Varón,2001,29479
38,20-24,Mujer,2001,29331
38,20-24,Varón,2005,30479
38,20-24,Mujer,2005,30045
38,25-29,Varón,2001,23686
38,25-29,Mujer,2001,24234
38,25-29,Varón,2005,27383
38,25-29,Mujer,2005,27556
38,30-34,Varón,2001,19442
38,30-34,Mujer,2001,19674
38,30-34,Varón,2005,22229
38,30-34,Mujer,2005,22707
38,35-39,Varón,2001,17346
38,35-39,Mujer,2001,18386
38,35-39,Varón,2005,18976
38,35-39,Mujer,2005,19174
38,40-44,Varón,2001,15390
38,40-44,Mujer,2001,16930
38,40-44,Varón,2005,16910
38,40-44,Mujer,2005,18029
38,45-49,Varón,2001,14494
38,45-49,Mujer,2001,15494
38,45-49,Varón,2005,14840
38,45-49,Mujer,2005,16403
38,50-54,Varón,2001,12223
38,50-54,Mujer,2001,12793
38,50-54,Varón,2005,13732
