"DimensionCode","DimensionMemberCode","DisplayString","DisplaySequence","URL"
"AGEGROUP","AGE17-100","17-100 years","267",""
"AGEGROUP","AGE18-100","18-100 years","268",""
"AGEGROUP","AGE19-100","19-100 years","270",""
"AGEGROUP","AGE20-100","20-100 years","271",""
"AGEGROUP","AGE21-100","21-100 years","273",""
"AGEGROUP","AGE25-100","25-100 years","274",""
"AGEGROUP","AGE30-100","30-100 years","276",""
"AGEGROUP","AGE35-100","35-100 years","277",""
"AGEGROUP","AGE40-100","40-100 years","278",""
"AGEGROUP","AGE45-100","45-100 years","279",""
"AGEGROUP","AGE47-100","47-100 years","281",""
"AGEGROUP","AGE50-100","50-100 years","282",""
"AGEGROUP","AGE51-100","51-100 years","285",""
"AGEGROUP","AGE55-100","55-100 years","286",""
"AGEGROUP","AGE60-100","60-100 years","287",""
"AGEGROUP","AGE60-102","60-102 years","289",""
"AGEGROUP","AGE61-100","61-100 years","290",""
"AGEGROUP","AGE65-100","65-100 years","291",""
"AGEGROUP","AGE66-100","66-100 years","292",""
"AGEGROUP","AGE67-100","67-100 years","293",""
"AGEGROUP","AGE70-100","70-100 years","294",""
"AGEGROUP","AGE71-100","71-100 years","297",""
"AGEGROUP","AGE75-100","75-100 years","298",""
"AGEGROUP","AGE80-100","80-100 years","300",""
"AGEGROUP","AGE80-102","80-102 years","302",""
"AGEGROUP","AGE85-100","85-100 years","303",""
"AGEGROUP","AGE95-100","95-100 years","304",""
"AGEGROUP","NA","Not applicable","309",""
"AGEGROUP","AGE0-29","0-29 years","41",""
"AGEGROUP","AGE50+","50+ years","283",""
"AGEGROUP","AGE100 ","100 years","306",""
"AGEGROUP","DAYS0-27","0-27 days","1",""
"AGEGROUP","MONTHS1-59","1-59 months","3",""
"AGEGROUP","YEARS0-4","0-4 years","9600",""
"AGEGROUP","YEARS05-14","5-14 years","8595",""
"AGEGROUP","YEARS15-29","15-29  years","7085",""
"AGEGROUP","YEARS30-49","30-49 years of age","5070",""
"AGEGROUP","YEARS50-69","50-69 years","3050",""
"AGEGROUP","YEARS70+","70 plus  years of age (please delete. It does not work with menu.xml)","30",""
"AGEGROUP","AGEAdult","Adult","310",""
"AGEGROUP","AGEYouth","Youth","311",""
"AGEGROUP","YEARS0-5","0-5  years","9500",""
"AGEGROUP","YEARS6-11","6-11 years","8894",""
"AGEGROUP","YEARS12+","12+  years","88",""
"AGEGROUP","YEARS15-69","15-69 years","3085",""
"AGEGROUP","YEARS50-59","50-59  years","4050",""
"AGEGROUP","YEARS60-69","60-69  years","3040",""
"AGEGROUP","YEARS30-59","30-59 years","4070",""
"AGEGROUP","YEARS70PLUS","70+  years of age","30",""
"AGEGROUP","YEARSLESS18","<18 years","8300",""
"AGEGROUP","AGE45-PLUS","45+ years","280",""
"AGEGROUP","YEARS18-PLUS","18+  years","82",""
"AGEGROUP","YEARS11-17","11-17 years","8289",""
"AGEGROUP","YEARS15-PLUS","15+  years","85",""
"AGEGROUP","YEARS13-15","13-15  years","8487",""
"AGEGROUP","YEARS00-09","0-9  years","9100",""
"AGEGROUP","YEARS010-19","10-19 duplicate","8099",""
"AGEGROUP","YEARS20-29","20-29  years","7080",""
"AGEGROUP","YEARS30-39","30-39  years","6070",""
"AGEGROUP","YEARS40-49","40-49  years","5060",""
"AGEGROUP","YEARS10-19","10-19 years of age","8090",""
"AGEGROUP","AGE100PLUS","100+ years","307",""
"AGEGROUP","YEARSALL","Total (All ages)","0",""
"AGEGROUP","YEARS05-09","5-9 years of age","9095",""
"AGEGROUP","YEARS10-29","10-29 years","7090",""
"AGEGROUP","YEARS50PLUS","50+ years of age","50",""
"AGEGROUP","YEARSLESSEQ15","<=15  years","8600",""
"AGEGROUP","YEARS15","15 years","8485",""
"AGEGROUP","YEARS10","10 years","8990",""
"AGEGROUP","YEARSUNDER5","<5 years","9600",""
"AGEGROUP","YEARS18-29","18-29 years","7082",""
"AGEGROUP","YEARS15-24","15-24 years of age","7585",""
"AGEGROUP","YEARS15PLUS","15+ years","85",""
"AGEGROUP","YEARS20PLUS","20+ years","80",""
"AGEGROUP","YEARS25PLUS","25+ years of age","75",""
"AGEGROUP","YEARS20-24","20-24 years of age","7580",""
"AGEGROUP","YEARS15-49","15-49 years of age","5085",""
"AGEGROUP","YEARS10PLUS","10+ years","90",""
"AGEGROUP","YEARS10-14","10-14 years of age","8590",""
"AGEGROUP","YEARS15-19","15-19 years","8085",""
"AGEGROUP","YEARS85PLUS","85+ years of age","15",""
"AGEGROUP","YEARS05-19","5-19  years","8095",""
"AGEGROUP","YEARS20-49","20-49 years","5080",""
"AGEGROUP","AGE85PLUS","85+ years","250",""
"AGEGROUP","YEARS25-29","25-29 years","7075",""
"AGEGROUP","YEARS70-79","70-79 years","2030",""
"AGEGROUP","YEARS80PLUS","80+ years","20",""
"AGEGROUP","AGE18-50","18-50","1850",""
"AGEGROUP","YEARSLESS15","<15 years","8600",""
"AGEGROUP","YEARS00-02","0-2 years","9800",""
"AGEGROUP","YEARS02-05","2-5 years","9498",""
"AGEGROUP","YEARS02-14","2-14 years","8598",""
"AGEGROUP","YEARS01-14","1-14 years","8599",""
"AGEGROUP","YEARS00-01","0-1 years","9900",""
"AGEGROUP","YEARS75-84","75-84 years","1525",""
