anio,sexo,grupo_edad_10,comp_tipo,comp_qualidiab,comp_frec,dw
2009,Mujer,70 a 79,microvascular,Neuropatía periférica,0.26,0.133189991499999
2009,Mujer,70 a 79,microvascular,Retinopatía no proliferativa,0.06,0.1074453071
2009,Mujer,70 a 79,microvascular,Retinopatía proliferativa,0.02,0.1840484878
2009,Mujer,80+,,Sin complicaciones,0.428571428571429,0.0490114147
2009,Mujer,80+,macrovascular,Claudicación miembros inferiores,0.142857142857143,0.0141852508
2009,Mujer,80+,macrovascular,IAM,0.142857142857143,0.25318521505
2009,Mujer,80+,microvascular,Neuropatía periférica,0.428571428571429,0.133189991499999
2009,Varón,10 a 19,,Sin complicaciones,1,0.0490114147
2009,Varón,30 a 39,,Sin complicaciones,1,0.0490114147
2009,Varón,40 a 49,,Sin complicaciones,0.936842105263158,0.0490114147
2009,Varón,40 a 49,microvascular,Disfunción eréctil,0.0210526315789474,0.133189991499999
2009,Varón,40 a 49,microvascular,Neuropatía periférica,0.0210526315789474,0.133189991499999
2009,Varón,40 a 49,microvascular,Retinopatía no proliferativa,0.0105263157894737,0.1074453071
2009,Varón,40 a 49,microvascular,Retinopatía proliferativa,0.0105263157894737,0.1840484878
2009,Varón,50 a 59,,Sin complicaciones,0.858695652173913,0.0490114147
2009,Varón,50 a 59,microvascular,Amputación,0.016304347826087,0.224603255005897
2009,Varón,50 a 59,macrovascular,Claudicación miembros inferiores,0.0217391304347826,0.0141852508
2009,Varón,50 a 59,microvascular,Disfunción eréctil,0.0489130434782609,0.133189991499999
2009,Varón,50 a 59,macrovascular,IAM,0.016304347826087,0.25318521505
2009,Varón,50 a 59,microvascular,Nefropatía,0.0108695652173913,0.242893275079427
2009,Varón,50 a 59,microvascular,Neuropatía periférica,0.0543478260869565,0.133189991499999
2009,Varón,50 a 59,microvascular,Retinopatía no proliferativa,0.0271739130434783,0.1074453071
2009,Varón,50 a 59,microvascular,Retinopatía proliferativa,0.0108695652173913,0.1840484878
2009,Varón,60 a 69,macrovascular,ACV,0.0261780104712042,0.403952630975241
2009,Varón,60 a 69,,Sin complicaciones,0.769633507853403,0.0490114147
2009,Varón,60 a 69,microvascular,Amputación,0.00523560209424084,0.224603255005897
2009,Varón,60 a 69,microvascular,Ceguera,0.00523560209424084,0.1873645834
